"Impound.No","Intake.Date","Intake.Type","Animal.Type","Neutered.Status","Sex","Age.Intake","Condition","Breed","Aggressive","Independent","Intelligent","Loyal","Social","Good.with.Kids","Max.Life.Expectancy","Max.Weight","Dog.Group","Color","Weight","Lab.Test","Outcome.Date","Outcome.Type","Days.Shelter"
"K12-000031","1/1/12","Stray","Dog","Spayed","Female",10,"Injured or Sick","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","Tan & White",3.3,"Heartworm Negative"," 1/7/12","Adoption",6
"K12-000037","1/1/12","Stray","Dog","Intact","Female",3,"Normal","Rat Terrier Mix","N","N","Y","N","Y","Y",14,25,"Terrier","White & Brown",7.5,"No Lab Test"," 1/3/12","Return to Owner",2
"K12-000108","1/1/12","Stray","Dog","Intact","Male",2,"Normal","Pit Bull Mix","N","N","N","Y","N","Y",14,90,"Terrier","Blue & White",74,"Heartworm Negative"," 1/13/12","Humane Euthanasia",12
"K12-000125","1/1/12","Stray","Dog","Neutered","Male",0,"Normal","Labrador Retr & Border Collie","N","Y","Y","Y","Y","Y",12,79,"Sporting","White & Black",22,"No Lab Test"," 1/8/12","Adoption",7
"K12-000157","1/1/12","Stray","Dog","Neutered","Male",3,"Injured or Sick","Labrador Retr ","N","Y","Y","Y","Y","Y",12,79,"Sporting","Black & White",54,"Heartworm Negative"," 4/4/12","Adoption",94
"K12-000286","1/1/12","Stray","Dog","Neutered","Male",5,"Normal","Yorkshire Terr ","N","N","N","Y","N","Y",15,7,"Terrier","Silver & Tan",4.8,"Heartworm Negative"," 1/10/12","Return to Owner",9
"K12-000291","1/1/12","Owner Surrender","Dog","Intact","Male",2,"Normal","Weimaraner Mix","N","N","Y","Y","Y","Y",13,80,"Sporting","Fawn & White",47,"Heartworm Positive"," 1/26/12","Humane Euthanasia",25
"K12-000384","1/8/12","Stray","Dog","Spayed","Female",1,"Normal","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","White ",10,"Heartworm Negative"," 1/21/12","Transfer",13
"K12-000416","1/8/12","Public Assist","Dog","Spayed","Female",1,"Injured or Sick","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","Black & White",6,"No Lab Test"," 1/20/12","Return to Owner",12
"K12-000497","1/8/12","Stray","Dog","Spayed","Female",6,"Normal","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","Tan & White",9.5,"Heartworm Negative"," 1/22/12","Adoption",14
"K12-000498","1/8/12","Stray","Dog","Neutered","Male",1,"Normal","Fox Terrier Smooth Mix","N","N","N","N","N","N",15,20,"Terrier","White & Red",16.5,"Heartworm Negative"," 1/19/12","Adoption",11
"K12-000599","1/8/12","Stray","Dog","Spayed","Female",1,"Normal","Blue Lacy Mix","N","N","Y","N","Y","Y",15,35,"Hound","Tan & White",46,"Heartworm Negative"," 1/20/12","Adoption",12
"K12-000616","1/8/12","Stray","Dog","Neutered","Male",8,"Normal","Beagle Mix","N","N","Y","N","Y","Y",15,35,"Hound","White & Black",34,"Heartworm Positive"," 1/19/12","Transfer",11
"K12-000642","1/15/12","Owner Surrender","Cat","Spayed","Female",15,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Black ",9.8,"FeLV Negative, FIV Negative"," 1/24/12","Adoption",9
"K12-000653","1/15/12","Stray","Cat","Neutered","Male",4,"Normal","Maine Coon Mix","","","","","","",NA,NA,"","Blue ",13,"FeLV Negative, FIV Positive"," 1/26/12","Return to Owner",11
"K12-000712","1/15/12","Owner Surrender","Dog","Spayed","Female",5,"Normal","Beagle & Basset Hound","N","N","Y","N","Y","Y",15,35,"Hound","Tricolor ",62,"Heartworm Positive"," 1/17/12","Transfer",2
"K12-000798","1/15/12","Owner Surrender","Cat","Spayed","Female",4,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Tortie ",9,"FeLV Negative, FIV Negative"," 3/30/12","Transfer",75
"K12-000804","1/15/12","Stray","Dog","Spayed","Female",3,"Normal","Pit Bull ","N","N","N","Y","N","Y",14,90,"Terrier","Br Brindle & White",48.25,"Heartworm Negative"," 4/16/12","Adoption",92
"K12-000893","1/15/12","Owner Surrender","Cat","Spayed","Female",2,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Brn Tabby ",10.5,"FeLV Negative, FIV Positive"," 2/12/12","Adoption",28
"K12-000903","1/15/12","Stray","Cat","Neutered","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Black ",4.5,"FeLV Negative, FIV Positive"," 2/12/12","Adoption",28
"K12-000957","1/15/12","Owner Surrender","Dog","Neutered","Male",3,"Normal","Pit Bull Mix","N","N","N","Y","N","Y",14,90,"Terrier","Blue ",55.3,"Heartworm Negative"," 1/31/12","Adoption",16
"K12-000967","1/22/12","Stray","Dog","Spayed","Female",7,"Normal","Pit Bull & Rottweiler","N","N","N","Y","N","Y",14,90,"Terrier","Br Brindle & White",57,"Heartworm Negative"," 1/22/12","Return to Owner",0
"K12-000975","1/22/12","Stray","Cat","Neutered","Male",2,"Injured or Sick","Domestic Sh Mix","","","","","","",NA,NA,"","Brn Tabby & White",6.3,"FeLV Negative, FIV Negative"," 1/22/12","Return to Owner",0
"K12-001015","1/22/12","Stray","Dog","Spayed","Female",2,"Normal","Rhod Ridgeback Mix","N","Y","N","Y","N","Y",12,85,"Hound","Red & Black",57,"Heartworm Negative"," 2/9/12","Transfer",18
"K12-001062","1/22/12","Owner Surrender","Cat","Spayed","Female",9,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Brn Tabby ",6.75,"FeLV Negative, FIV Negative"," 8/9/12","Humane Euthanasia",200
"K12-001080","1/22/12","Stray","Dog","Neutered","Male",7,"Normal","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","Brown & White",4.3,"Heartworm Positive"," 2/1/12","Return to Owner",10
"K12-001092","1/22/12","Stray","Dog","Spayed","Female",3,"Normal","Pit Bull ","N","N","N","Y","N","Y",14,90,"Terrier","White & Tan",43,"Heartworm Negative"," 1/25/12","Return to Owner",3
"K12-001109","1/22/12","Stray","Dog","Neutered","Male",5,"Normal","Yorkshire Terr Mix","N","N","N","Y","N","Y",15,7,"Terrier","Silver & Tan",15.3,"Heartworm Negative"," 1/31/12","Adoption",9
"K12-001213","1/22/12","Owner Surrender","Dog","Neutered","Male",0,"Normal","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","Red & Black",12.3,"No Lab Test"," 2/6/12","Adoption",15
"K12-001228","1/22/12","Stray","Dog","Neutered","Male",2,"Normal","Pit Bull ","N","N","N","Y","N","Y",14,90,"Terrier","White & Red",47.5,"Heartworm Positive"," 3/17/12","Transfer",55
"K12-001282","1/29/12","Stray","Dog","Neutered","Male",7,"Normal","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","Tan ",3.3,"Heartworm Negative"," 2/3/12","Transfer",5
"K12-001295","1/29/12","Owner Surrender","Dog","Neutered","Male",0,"Normal","Basset Hound & Boston Terrier","N","N","N","Y","Y","Y",12,65,"Hound","Br Brindle & White",15.5,"No Lab Test"," 1/31/12","Adoption",2
"K12-001302","1/29/12","Stray","Cat","Spayed","Female",4,"Injured or Sick","Domestic Lh Mix","","","","","","",NA,NA,"","Tortie ",10.8,"FeLV Negative, FIV Negative"," 2/20/12","Adoption",22
"K12-001429","1/29/12","Stray","Dog","Spayed","Female",0,"Normal","Welsh Corgi Car Mix","N","N","Y","Y","Y","Y",15,34,"Herding","Tan & White",9.5,"No Lab Test"," 2/9/12","Adoption",11
"K12-001449","1/29/12","Stray","Dog","Neutered","Male",0,"Normal","Newfoundland & Labrador Retr","N","N","Y","Y","Y","Y",10,180,"Working","Black ",13,"No Lab Test"," 2/11/12","Adoption",13
"K12-001451","1/29/12","Stray","Dog","Neutered","Male",4,"Normal","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","Tricolor ",15.3,"Heartworm Negative"," 2/7/12","Transfer",9
"K12-001478","1/29/12","Stray","Dog","Intact","Male",13,"Injured or Sick","Germ Shepherd ","N","N","Y","Y","N","Y",12,88,"Working","Brown & Black",85,"Heartworm Negative"," 2/5/12","Return to Owner",7
"K12-001671","2/5/12","Owner Surrender","Dog","Spayed","Female",1,"Normal","Great Dane Mix","N","N","Y","Y","Y","Y",10,180,"Working","Black & White",63,"Heartworm Negative"," 2/10/12","Adoption",5
"K12-001692","2/5/12","Owner Surrender","Dog","Neutered","Male",1,"Injured or Sick","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","White & Tan",9.8,"No Lab Test"," 2/9/12","Return to Owner",4
"K12-001716","2/5/12","Stray","Dog","Intact","Male",1,"Normal","Pit Bull Mix","N","N","N","Y","N","Y",14,90,"Terrier","Br Brindle & White",53,"No Lab Test"," 2/24/12","Humane Euthanasia",19
"K12-001761","2/5/12","Owner Surrender","Dog","Spayed","Female",5,"Normal","Pug Mix","N","N","N","N","Y","Y",15,25,"Toy","Brown ",15.8,"Heartworm Negative"," 2/13/12","Adoption",8
"K12-001766","2/5/12","Stray","Cat","Neutered","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Black ",4.3,"FeLV Negative, FIV Negative"," 2/13/12","Adoption",8
"K12-001805","2/5/12","Stray","Dog","Spayed","Female",5,"Normal","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","Brown ",13.5,"Heartworm Negative"," 2/17/12","Adoption",12
"K12-001842","2/5/12","Owner Surrender","Dog","Neutered","Male",6,"Normal","Chihuahua Sh ","N","N","Y","N","N","N",18,6,"Toy","Tan ",11,"Heartworm Negative"," 2/13/12","Adoption",8
"K12-001851","2/5/12","Owner Surrender","Dog","Spayed","Female",8,"Normal","Greyhound & Great Dane","N","N","Y","Y","Y","Y",10,180,"Working","Black & White",54,"Heartworm Negative"," 2/21/12","Adoption",16
"K12-001885","2/5/12","Owner Surrender","Dog","Neutered","Male",1,"Normal","Dogo Argentino Mix","N","N","N","N","Y","Y",14,120,"Terrier","White ",53.5,"Heartworm Negative"," 3/4/12","Transfer",28
"K12-001898","2/5/12","Stray","Dog","Neutered","Male",0,"Normal","Labrador Retr Mix","N","Y","Y","Y","Y","Y",12,79,"Sporting","Black & White",7.8,"No Lab Test"," 3/4/12","Adoption",28
"K12-002078","2/12/12","Stray","Dog","Intact","Male",1,"Normal","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","Tan & White",7.8,"Heartworm Negative"," 2/17/12","Return to Owner",5
"K12-002109","2/12/12","Stray","Dog","Neutered","Male",8,"Normal","Labrador Retr & Greyhound","N","Y","Y","Y","Y","Y",12,79,"Sporting","White ",56,"Heartworm Negative"," 2/16/12","Return to Owner",4
"K12-002148","2/12/12","Owner Surrender","Dog","Neutered","Male",3,"Normal","Tibetan Terr Mix","N","Y","N","Y","N","Y",15,24,"Non-Sporting","Gray & Black",36.3,"Heartworm Negative"," 2/20/12","Transfer",8
"K12-002176","2/12/12","Stray","Cat","Neutered","Male",3,"Injured or Sick","Domestic Sh Mix","","","","","","",NA,NA,"","Blue ",9,"FeLV Negative, FIV Negative"," 3/13/12","Adoption",30
"K12-002177","2/12/12","Stray","Dog","Neutered","Male",1,"Normal","Labrador Retr Mix","N","Y","Y","Y","Y","Y",12,79,"Sporting","Black & White",36,"Heartworm Negative"," 2/27/12","Transfer",15
"K12-002274","2/19/12","Owner Surrender","Dog","Spayed","Female",5,"Normal","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","Brown ",13.5,"Heartworm Negative"," 2/22/12","Transfer",3
"K12-002284","2/19/12","Stray","Dog","Spayed","Female",1,"Normal","Bluetick Hound Mix","N","N","Y","Y","Y","Y",12,80,"Hound","Blue Tick & Black",53,"Heartworm Negative"," 2/20/12","Return to Owner",1
"K12-002352","2/19/12","Stray","Cat","Neutered","Male",4,"Injured or Sick","Domestic Sh Mix","","","","","","",NA,NA,"","Black ",13.5,"No Lab Test"," 2/24/12","Humane Euthanasia",5
"K12-002373","2/19/12","Owner Surrender","Dog","Spayed","Female",3,"Normal","Chinese Sharpei ","N","Y","N","Y","N","Y",10,65,"Non-Sporting","Buff ",30,"Heartworm Negative"," 2/25/12","Transfer",6
"K12-002400","2/19/12","Stray","Dog","Neutered","Male",2,"Normal","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","Buff ",10.5,"Heartworm Negative"," 2/23/12","Return to Owner",4
"K12-002486","2/19/12","Stray","Dog","Neutered","Male",1,"Normal","Germ Shepherd Mix","N","N","Y","Y","N","Y",12,88,"Working","Black & Brown",31,"Heartworm Negative"," 3/3/12","Adoption",13
"K12-002514","2/19/12","Stray","Cat","Neutered","Male",3,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Black & White",10,"FeLV Negative, FIV Negative"," 3/6/12","Adoption",16
"K12-002536","2/19/12","Stray","Dog","Spayed","Female",7,"Injured or Sick","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","Brown ",19.3,"No Lab Test"," 5/1/12","Adoption",72
"K12-002558","2/19/12","Stray","Dog","Neutered","Male",1,"Normal","Norwich Terrier & Cairn Terrier","N","N","N","Y","Y","Y",16,12,"Terrier","Tan & White",15.5,"Heartworm Negative"," 3/4/12","Return to Owner",14
"K12-002641","2/26/12","Public Assist","Dog","Neutered","Male",2,"Normal","Germ Shepherd & Labrador Retr","N","N","Y","Y","N","Y",12,88,"Working","Brown & Black",56,"Heartworm Negative"," 3/24/12","Adoption",27
"K12-002647","2/26/12","Stray","Dog","Intact","Male",3,"Normal","Germ Shepherd & Rottweiler","N","N","Y","Y","N","Y",12,88,"Working","Brown & Tan",58.8,"Heartworm Positive"," 2/27/12","Return to Owner",1
"K12-002669","2/26/12","Stray","Dog","Spayed","Female",0,"Normal","Labrador Retr Mix","N","Y","Y","Y","Y","Y",12,79,"Sporting","Black & White",10.8,"No Lab Test"," 3/15/12","Transfer",18
"K12-002676","2/26/12","Owner Surrender","Dog","Spayed","Female",3,"Normal","Poodle Toy Mix","N","N","Y","Y","N","Y",14,9,"Toy","Black & White",6.5,"Heartworm Negative"," 2/27/12","Transfer",1
"K12-002781","2/26/12","Stray","Dog","Neutered","Male",13,"Normal","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","Sable ",7.3,"No Lab Test"," 3/5/12","Transfer",8
"K12-002875","2/26/12","Stray","Cat","Neutered","Male",2,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Black & White",8,"FeLV Negative, FIV Negative"," 3/5/12","Transfer",8
"K12-002891","2/26/12","Owner Surrender","Dog","Neutered","Male",0,"Normal","Great Pyrenees ","N","N","Y","N","N","Y",12,120,"Herding","White & Tan",23.5,"No Lab Test"," 3/3/12","Adoption",6
"K12-002954","3/4/12","Owner Surrender","Dog","Spayed","Female",0,"Normal","Min Pinscher Mix","N","Y","N","Y","N","Y",14,10,"Toy","Black & Tan",13.8,"Heartworm Negative"," 3/4/12","Transfer",0
"K12-003001","3/4/12","Stray","Cat","Neutered","Male",2,"Normal","Siamese Mix","","","","","","",NA,NA,"","Choc Pt ",9.3,"FeLV Negative, FIV Negative"," 3/24/12","Transfer",20
"K12-003007","3/4/12","Stray","Dog","Spayed","Female",6,"Normal","Beagle Mix","N","N","Y","N","Y","Y",15,35,"Hound","Tan & White",33,"Heartworm Negative"," 3/12/12","Adoption",8
"K12-003017","3/4/12","Public Assist","Cat","Spayed","Female",1,"Normal","Domestic Mh Mix","","","","","","",NA,NA,"","Black ",5.8,"No Lab Test"," 3/16/12","Transfer",12
"K12-003034","3/4/12","Stray","Dog","Spayed","Female",0,"Normal","Pit Bull Mix","N","N","N","Y","N","Y",14,90,"Terrier","Br Brindle & White",64,"Heartworm Negative"," 3/25/12","Transfer",21
"K12-003117","3/4/12","Stray","Cat","Neutered","Male",3,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Black & White",11,"FeLV Positive, FIV Negative"," 3/15/12","Transfer",11
"K12-003143","3/4/12","Stray","Dog","Spayed","Female",13,"Normal","Germ Shepherd Mix","N","N","Y","Y","N","Y",12,88,"Working","Sable ",66,"No Lab Test"," 3/31/12","Adoption",27
"K12-003157","3/4/12","Stray","Dog","Spayed","Female",8,"Normal","Border Collie Mix","N","N","Y","N","Y","Y",13,45,"Herding","Tricolor ",47,"Heartworm Positive"," 4/15/12","Adoption",42
"K12-003178","3/4/12","Stray","Dog","Intact","Female",2,"Normal","Pit Bull Mix","N","N","N","Y","N","Y",14,90,"Terrier","Tan & White",35,"No Lab Test"," 3/14/12","Humane Euthanasia",10
"K12-003186","3/4/12","Stray","Cat","Neutered","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Org Tabby & White",1.5,"FeLV Negative, FIV Negative"," 3/30/12","Transfer",26
"K12-003559","3/11/12","Stray","Cat","Spayed","Female",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Black ",0.8,"No Lab Test"," 3/15/12","Transfer",4
"K12-003567","3/11/12","Public Assist","Dog","Neutered","Male",1,"Normal","Chihuahua Sh & Aust Cattle Dog","N","N","Y","N","N","N",18,6,"Toy","Tricolor ",28,"Heartworm Negative"," 3/27/12","Return to Owner",16
"K12-003593","3/11/12","Stray","Dog","Neutered","Male",4,"Normal","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","Brown & White",11,"Heartworm Negative"," 3/25/12","Adoption",14
"K12-003619","3/11/12","Stray","Cat","Neutered","Male",2,"Normal","Domestic Mh Mix","","","","","","",NA,NA,"","Black ",5.8,"FeLV Negative, FIV Negative"," 3/22/12","Transfer",11
"K12-003644","3/11/12","Owner Surrender","Cat","Neutered","Male",9,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Org Tabby ",8.8,"FeLV Negative, FIV Negative"," 3/28/12","Adoption",17
"K12-003810","3/18/12","Owner Surrender","Cat","Spayed","Female",9,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Black ",8.5,"FeLV Negative, FIV Negative"," 5/18/12","Adoption",61
"K12-003841","3/18/12","Stray","Cat","Neutered","Male",1,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Blue Tabby & White",7,"No Lab Test"," 3/24/12","Transfer",6
"K12-003922","3/18/12","Owner Surrender","Dog","Neutered","Male",0,"Normal","Labrador Retr & Catahoula","N","Y","Y","Y","Y","Y",12,79,"Sporting","Red ",23.8,"No Lab Test"," 3/24/12","Adoption",6
"K12-003936","3/18/12","Stray","Dog","Neutered","Male",0,"Normal","Border Collie Mix","N","N","Y","N","Y","Y",13,45,"Herding","Black & White",9.8,"No Lab Test"," 3/26/12","Adoption",8
"K12-004064","3/18/12","Owner Surrender","Dog","Neutered","Male",1,"Normal","Labrador Retr Mix","N","Y","Y","Y","Y","Y",12,79,"Sporting","Chocolate ",62.3,"Heartworm Negative"," 3/25/12","Transfer",7
"K12-004081","3/18/12","Stray","Dog","Neutered","Male",3,"Normal","Pit Bull Mix","N","N","N","Y","N","Y",14,90,"Terrier","White & Tan",58,"Heartworm Negative"," 5/23/12","Adoption",66
"K12-004085","3/25/12","Stray","Dog","Spayed","Female",0,"Injured or Sick","Amer Bulldog Mix","N","N","N","Y","N","Y",12,55,"Non-Sporting","White & Bl Brindle",21.5,"No Lab Test"," 5/30/12","Adoption",66
"K12-004099","3/25/12","Stray","Dog","Neutered","Male",3,"Normal","Labrador Retr Mix","N","Y","Y","Y","Y","Y",12,79,"Sporting","Brown & Tan",71.5,"Heartworm Negative"," 5/17/12","Adoption",53
"K12-004139","3/25/12","Stray","Dog","Neutered","Male",0,"Normal","Labrador Retr & Am Pit Bull Ter","N","Y","Y","Y","Y","Y",12,79,"Sporting","Black & White",16,"No Lab Test"," 4/3/12","Adoption",9
"K12-004141","3/25/12","Owner Surrender","Dog","Neutered","Male",5,"Normal","Queensland Heel Mix","Y","N","Y","Y","N","Y",16,35,"Herding","BLUE MERLE",40,"Heartworm Positive"," 4/1/12","Transfer",7
"K12-004168","3/25/12","Stray","Cat","Spayed","Female",2,"Injured or Sick","Balinese Mix","","","","","","",NA,NA,"","Blue Pt ",7,"FeLV Negative, FIV Negative"," 4/30/12","Adoption",36
"K12-004288","3/25/12","Stray","Dog","Spayed","Female",1,"Normal","Pit Bull Mix","N","N","N","Y","N","Y",14,90,"Terrier","Black & White",55,"Heartworm Negative"," 6/4/12","Transfer",71
"K12-004333","3/25/12","Owner Surrender","Dog","Spayed","Female",2,"Normal","Dogo Argentino Mix","N","N","N","N","Y","Y",14,120,"Terrier","White ",44,"Heartworm Negative"," 4/11/12","Adoption",17
"K12-004488","4/1/12","Stray","Cat","Neutered","Male",3,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Org Tabby & White",9.5,"FeLV Negative, FIV Positive"," 4/7/12","Return to Owner",6
"K12-004511","4/1/12","Owner Surrender","Dog","Neutered","Male",5,"Normal","Pit Bull Mix","N","N","N","Y","N","Y",14,90,"Terrier","Red & White",73,"Heartworm Negative"," 4/4/12","Return to Owner",3
"K12-004641","4/1/12","Owner Surrender","Dog","Neutered","Male",2,"Normal","Cairn Terrier & Dachshund Wh","N","N","Y","Y","N","Y",15,18,"Terrier","Black & Tan",13.5,"Heartworm Negative"," 4/15/12","Adoption",14
"K12-004652","4/1/12","Stray","Dog","Spayed","Female",0,"Normal","Boxer Mix","N","N","Y","Y","Y","Y",12,72,"Working","Brown & Black",11,"No Lab Test"," 4/11/12","Adoption",10
"K12-004663","4/1/12","Stray","Dog","Spayed","Female",1,"Normal","Pit Bull Mix","N","N","N","Y","N","Y",14,90,"Terrier","White & Brown",36.5,"Heartworm Negative"," 4/14/12","Adoption",13
"K12-004666","4/1/12","Owner Surrender","Cat","Neutered","Male",0,"Normal","Domestic Mh Mix","","","","","","",NA,NA,"","Org Tabby ",2,"FeLV Negative, FIV Negative"," 4/10/12","Adoption",9
"K12-004715","4/1/12","Owner Surrender","Cat","Spayed","Female",2,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Org Tabby ",8.3,"FeLV Negative, FIV Negative"," 4/24/12","Transfer",23
"K12-004788","4/1/12","Public Assist","Dog","Neutered","Male",3,"Normal","Aust Cattle Dog Mix","Y","N","Y","Y","N","Y",16,35,"Herding","Brown & White",70,"No Lab Test"," 4/17/12","Return to Owner",16
"K12-004906","4/8/12","Owner Surrender","Dog","Spayed","Female",10,"Normal","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","Cream ",5.5,"Heartworm Negative"," 4/13/12","Adoption",5
"K12-004937","4/8/12","Stray","Cat","Neutered","Male",0,"Injured or Sick","Domestic Sh Mix","","","","","","",NA,NA,"","Black & White",2.5,"FeLV Negative, FIV Negative"," 6/20/12","Adoption",73
"K12-004938","4/8/12","Stray","Dog","Spayed","Female",2,"Normal","Staffordshire & Boston Terrier","N","N","Y","Y","Y","Y",16,88,"Terrier","Bl Brindle ",43,"Heartworm Negative"," 4/26/12","Transfer",18
"K12-005019","4/8/12","Stray","Dog","Spayed","Female",3,"Normal","Plott Hound Mix","N","N","N","N","Y","N",14,27,"Hound","Br Brindle & White",57.25,"Heartworm Negative"," 7/4/12","Adoption",87
"K12-005100","4/8/12","Stray","Dog","Spayed","Female",0,"Normal","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","Black & Brown",4.5,"No Lab Test"," 4/16/12","Adoption",8
"K12-005122","4/8/12","Stray","Dog","Spayed","Female",0,"Normal","Germ Shepherd ","N","N","Y","Y","N","Y",12,88,"Working","Black & Tan",33.5,"No Lab Test"," 4/15/12","Adoption",7
"K12-005125","4/8/12","Stray","Dog","Spayed","Female",4,"Normal","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","Brown ",10,"Heartworm Negative"," 4/17/12","Adoption",9
"K12-005126","4/8/12","Stray","Dog","Neutered","Male",1,"Normal","Pointer Mix","N","N","N","Y","N","Y",15,75,"Sporting","Black & White",43,"Heartworm Negative"," 4/15/12","Return to Owner",7
"K12-005261","4/8/12","Stray","Dog","Neutered","Male",2,"Normal","Great Pyrenees Mix","N","N","Y","N","N","Y",12,120,"Herding","White ",66,"Heartworm Negative"," 4/14/12","Return to Owner",6
"K12-005302","4/8/12","Owner Surrender","Cat","Spayed","Female",4,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Brn Tabby ",8.5,"FeLV Negative, FIV Negative"," 5/10/12","Transfer",32
"K12-005317","4/8/12","Stray","Cat","Spayed","Female",5,"Normal","Domestic Lh Mix","","","","","","",NA,NA,"","Blk Smoke ",10,"FeLV Negative, FIV Negative"," 4/22/12","Adoption",14
"K12-005394","4/8/12","Stray","Cat","Neutered","Male",0,"Injured or Sick","Domestic Lh Mix","","","","","","",NA,NA,"","Blk Smoke ",0.8,"FeLV Negative, FIV Negative"," 4/14/12","Transfer",6
"K12-005406","4/15/12","Stray","Dog","Spayed","Female",5,"Normal","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","White & Black",6.5,"Heartworm Positive"," 4/27/12","Transfer",12
