"Impound.No","Intake.Date","Intake.Type","Animal.Type","Neutered.Status","Sex","Age.Intake","Condition","Breed","Aggressive","Independent","Intelligent","Loyal","Social","Good.with.Kids","Max.Life.Expectancy","Max.Weight","Dog.Group","Color","Weight","Lab.Test","Outcome.Date","Outcome.Type","Days.Shelter"
"K12-005513","4/15/12","Stray","Dog","Neutered","Male",6,"Normal","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","Red & White",8.8,"Heartworm Negative"," 4/22/12","Adoption",7
"K12-005691","4/15/12","Stray","Cat","Neutered","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Blk Tabby ",0.8,"FeLV Negative, FIV Negative"," 4/19/12","Transfer",4
"K12-005709","4/15/12","Owner Surrender","Dog","Spayed","Female",13,"Normal","Aust Cattle Dog ","Y","N","Y","Y","N","Y",16,35,"Herding","Blue Merle ",56,"Heartworm Negative"," 4/20/12","Humane Euthanasia",5
"K12-005797","4/15/12","Public Assist","Dog","Spayed","Female",5,"Normal","Schnauzer Min Mix","N","N","N","N","N","Y",15,20,"Terrier","Black & Tan",18.25,"Heartworm Negative"," 7/7/12","Adoption",83
"K12-005800","4/15/12","Public Assist","Dog","Spayed","Female",4,"Normal","Chihuahua Lh Mix","N","N","Y","N","N","N",18,6,"Toy","Brown & Cream",7.8,"Heartworm Negative"," 5/11/12","Transfer",26
"K12-005829","4/15/12","Stray","Cat","Spayed","Female",2,"Injured or Sick","Domestic Sh Mix","","","","","","",NA,NA,"","White & Blue",7.5,"No Lab Test"," 5/7/12","Transfer",22
"K12-005847","4/15/12","Stray","Cat","Neutered","Male",0,"Injured or Sick","Domestic Sh Mix","","","","","","",NA,NA,"","Brn Tabby ",0.3,"FeLV Negative, FIV Negative"," 6/3/12","Adoption",49
"K12-005865","4/15/12","Stray","Dog","Neutered","Male",0,"Normal","Labrador Retr & Airedale Terr","N","Y","Y","Y","Y","Y",12,79,"Sporting","Yellow ",16,"No Lab Test"," 5/1/12","Adoption",16
"K12-005882","4/15/12","Stray","Cat","Neutered","Male",0,"Injured or Sick","Domestic Sh Mix","","","","","","",NA,NA,"","Org Tabby ",0.8,"No Lab Test"," 4/21/12","Transfer",6
"K12-005905","4/15/12","Stray","Cat","Intact","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Org Tabby & White",1,"FeLV Negative, FIV Negative"," 5/31/12","Adoption",46
"K12-005944","4/22/12","Stray","Dog","Neutered","Male",3,"Normal","Rat Terrier Mix","N","N","Y","N","Y","Y",14,25,"Terrier","Tricolor ",13.5,"Heartworm Negative"," 4/26/12","Adoption",4
"K12-005966","4/22/12","Stray","Cat","Spayed","Female",2,"Injured or Sick","Domestic Mh Mix","","","","","","",NA,NA,"","Tortie ",7.75,"FeLV Negative, FIV Negative"," 7/28/12","Adoption",97
"K12-006015","4/22/12","Stray","Cat","Spayed","Female",3,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Brn Tabby & White",7.3,"FeLV Negative, FIV Negative"," 7/24/12","Transfer",93
"K12-006024","4/22/12","Owner Surrender","Cat","Spayed","Female",12,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Black & White",8.5,"FeLV Negative, FIV Negative"," 7/5/12","Transfer",74
"K12-006051","4/22/12","Owner Surrender","Cat","Neutered","Male",0,"Injured or Sick","Domestic Mh Mix","","","","","","",NA,NA,"","Blue Tabby & White",2.8,"No Lab Test"," 4/24/12","Adoption",2
"K12-006095","4/22/12","Stray","Dog","Neutered","Male",1,"Normal","Pit Bull Mix","N","N","N","Y","N","Y",14,90,"Terrier","White & Brown",45,"Heartworm Negative"," 5/4/12","Adoption",12
"K12-006120","4/22/12","Owner Surrender","Cat","Spayed","Female",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Tortie ",2.5,"FeLV Negative, FIV Negative"," 4/25/12","Adoption",3
"K12-006207","4/22/12","Stray","Dog","Neutered","Male",1,"Normal","Shih Tzu & Chihuahua Lh","N","N","N","N","N","Y",16,16,"Non-Sporting","Black ",16,"Heartworm Negative"," 4/30/12","Return to Owner",8
"K12-006221","4/22/12","Stray","Dog","Spayed","Female",5,"Normal","Catahoula Mix","N","Y","N","N","N","Y",13,80,"Herding","Br Brindle & White",60,"Heartworm Positive"," 5/30/12","Transfer",38
"K12-006316","4/22/12","Stray","Cat","Spayed","Female",0,"Injured or Sick","Domestic Sh Mix","","","","","","",NA,NA,"","Calico ",3,"FeLV Negative, FIV Negative"," 6/30/12","Adoption",69
"K12-006359","4/22/12","Stray","Cat","Spayed","Female",0,"Injured or Sick","Siamese Mix","","","","","","",NA,NA,"","Lynx Pt ",0.8,"FeLV Negative, FIV Negative"," 4/28/12","Transfer",6
"K12-006419","4/22/12","Stray","Dog","Spayed","Female",2,"Normal","Labrador Retr Mix","N","Y","Y","Y","Y","Y",12,79,"Sporting","Black ",60,"Heartworm Negative"," 4/29/12","Return to Owner",7
"K12-006487","4/29/12","Stray","Dog","Spayed","Female",0,"Normal","Labrador Retr Mix","N","Y","Y","Y","Y","Y",12,79,"Sporting","Black & White",12,"No Lab Test"," 5/6/12","Adoption",7
"K12-006543","4/29/12","Stray","Cat","Neutered","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Blue Tabby ",0.3,"FeLV Negative, FIV Negative"," 6/30/12","Adoption",62
"K12-006740","4/29/12","Stray","Cat","Spayed","Female",3,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","White & Brn Tabby",9,"No Lab Test"," 6/11/12","Transfer",43
"K12-006743","4/29/12","Stray","Dog","Neutered","Male",10,"Normal","West Highland ","N","Y","N","N","N","Y",14,20,"Terrier","White ",27,"Heartworm Negative"," 5/3/12","Return to Owner",4
"K12-006758","4/29/12","Stray","Cat","Spayed","Female",0,"Injured or Sick","Domestic Sh Mix","","","","","","",NA,NA,"","Blue Tabby & White",0.8,"FeLV Negative, FIV Negative"," 5/8/12","Transfer",9
"K12-006799","4/29/12","Owner Surrender","Dog","Neutered","Male",1,"Normal","Pug & Beagle","N","N","Y","Y","Y","Y",15,30,"Crossbreed","Brown & Black",13.8,"Heartworm Negative"," 5/5/12","Adoption",6
"K12-006829","4/29/12","Owner Surrender","Cat","Spayed","Female",11,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Torbie ",10.3,"FeLV Negative, FIV Negative"," 5/12/12","Return to Owner",13
"K12-006835","4/29/12","Stray","Cat","Spayed","Female",0,"Injured or Sick","Domestic Sh Mix","","","","","","",NA,NA,"","Blue Tabby & White",4.75,"FeLV Negative, FIV Negative"," 9/28/12","Adoption",152
"K12-006891","4/29/12","Owner Surrender","Dog","Neutered","Male",4,"Normal","Cocker Spaniel","N","N","N","Y","Y","Y",15,33,"Sporting","Black & Tan",19,"Heartworm Negative"," 5/7/12","Adoption",8
"K12-006924","4/29/12","Owner Surrender","Dog","Spayed","Female",5,"Normal","Schnauzer Min Mix","N","N","N","N","N","Y",15,20,"Terrier","Black & Tan",30,"Heartworm Negative"," 5/9/12","Transfer",10
"K12-006925","4/29/12","Owner Surrender","Dog","Neutered","Male",0,"Normal","Schnauzer Min & Chow Chow","N","N","N","N","N","Y",15,20,"Terrier","Black ",20,"No Lab Test"," 5/9/12","Transfer",10
"K12-007017","5/6/12","Stray","Dog","Neutered","Male",2,"Normal","Germ Shepherd & Rottweiler","N","N","Y","Y","N","Y",12,88,"Working","Black & Tan",70,"Heartworm Negative"," 5/14/12","Adoption",8
"K12-007045","5/6/12","Owner Surrender","Dog","Neutered","Male",1,"Normal","Amer Bulldog Mix","N","N","N","Y","N","Y",12,55,"Non-Sporting","Br Brindle & White",63,"Heartworm Negative"," 5/28/12","Adoption",22
"K12-007190","5/6/12","Stray","Cat","Intact","Female",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Tortie ",0.5,"FeLV Negative, FIV Negative"," 5/9/12","Transfer",3
"K12-007255","5/6/12","Public Assist","Dog","Intact","Female",2,"Normal","Pit Bull Mix","N","N","N","Y","N","Y",14,90,"Terrier","Brown & White",42,"Heartworm Negative"," 5/10/12","Return to Owner",4
"K12-007406","5/6/12","Stray","Cat","Neutered","Male",0,"Injured or Sick","Domestic Sh Mix","","","","","","",NA,NA,"","White ",0.8,"FeLV Negative, FIV Negative"," 5/15/12","Transfer",9
"K12-007459","5/6/12","Public Assist","Dog","Neutered","Male",6,"Normal","Dogue De Bordx ","N","N","N","Y","Y","Y",8,110,"Working","Red ",131,"Heartworm Negative"," 5/13/12","Return to Owner",7
"K12-007462","5/6/12","Public Assist","Dog","Neutered","Male",2,"Normal","Jack Russ Terr Mix","N","N","Y","Y","N","Y",16,18,"Sporting","White & Red",22,"Heartworm Negative"," 5/13/12","Return to Owner",7
"K12-007487","5/6/12","Stray","Cat","Spayed","Female",0,"Normal","Korat Mix","","","","","","",NA,NA,"","Blue ",3.5,"FeLV Negative, FIV Negative"," 5/16/12","Adoption",10
"K12-007559","5/13/12","Stray","Dog","Neutered","Male",0,"Normal","Labrador Retr Mix","N","Y","Y","Y","Y","Y",12,79,"Sporting","Black & White",27.5,"No Lab Test"," 5/20/12","Adoption",7
"K12-007623","5/13/12","Stray","Cat","Intact","Male",0,"Injured or Sick","Domestic Sh Mix","","","","","","",NA,NA,"","Brn Tabby & White",1,"FeLV Negative, FIV Negative"," 6/6/12","Died",24
"K12-007736","5/13/12","Stray","Cat","Spayed","Female",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Brn Tabby & White",2.3,"FeLV Negative, FIV Negative"," 6/30/12","Adoption",48
"K12-007824","5/13/12","Owner Surrender","Cat","Spayed","Female",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Brn Tabby ",3.3,"FeLV Negative, FIV Negative"," 5/21/12","Adoption",8
"K12-007827","5/13/12","Owner Surrender","Cat","Spayed","Female",2,"Injured or Sick","Domestic Sh Mix","","","","","","",NA,NA,"","Crm Tabby ",8.5,"FeLV Negative, FIV Negative"," 9/20/12","Adoption",130
"K12-008117","5/20/12","Stray","Dog","Spayed","Female",2,"Normal","Jack Russ Terr & Chinese Crested","N","N","Y","Y","N","Y",16,18,"Sporting","White & Black",11.8,"Heartworm Negative"," 5/26/12","Transfer",6
"K12-008279","5/20/12","Stray","Dog","Neutered","Male",2,"Injured or Sick","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","Brown & White",10,"Heartworm Negative"," 6/6/12","Transfer",17
"K12-008316","5/20/12","Owner Surrender","Dog","Neutered","Male",2,"Normal","Min Pinscher Mix","N","Y","N","Y","N","Y",14,10,"Toy","Black & Brown",18.5,"Heartworm Negative"," 5/27/12","Adoption",7
"K12-008358","5/20/12","Stray","Cat","Neutered","Male",0,"Normal","Siamese Mix","","","","","","",NA,NA,"","Seal Pt ",1,"FeLV Negative, FIV Negative"," 7/14/12","Adoption",55
"K12-008370","5/20/12","Stray","Cat","Neutered","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Seal Pt ",2,"FeLV Negative, FIV Negative"," 5/25/12","Transfer",5
"K12-008406","5/20/12","Stray","Dog","Spayed","Female",5,"Normal","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","Tan & White",6,"Heartworm Negative"," 5/28/12","Adoption",8
"K12-008445","5/20/12","Stray","Cat","Spayed","Female",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Tortie ",2.75,"FeLV Negative, FIV Negative"," 7/12/12","Adoption",53
"K12-008494","5/20/12","Owner Surrender","Dog","Neutered","Male",0,"Normal","Great Pyrenees & Basset Hound","N","N","Y","N","N","Y",12,120,"Herding","White & Red",23,"No Lab Test"," 5/25/12","Transfer",5
"K12-008512","5/20/12","Stray","Dog","Spayed","Female",5,"Normal","Pit Bull Mix","N","N","N","Y","N","Y",14,90,"Terrier","Black & White",35.99,"Heartworm Positive"," 8/1/12","Transfer",73
"K12-008514","5/20/12","Stray","Cat","Spayed","Female",0,"Normal","Manx Mix","","","","","","",NA,NA,"","Tortie ",1.8,"FeLV Negative, FIV Negative"," 5/29/12","Adoption",9
"K12-008589","5/20/12","Stray","Cat","Spayed","Female",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Brn Tabby ",2.3,"FeLV Negative, FIV Negative"," 6/7/12","Transfer",18
"K12-008710","5/27/12","Owner Surrender","Cat","Spayed","Female",0,"Normal","Korat Mix","","","","","","",NA,NA,"","Blue ",3.5,"FeLV Negative, FIV Negative"," 5/31/12","Adoption",4
"K12-008856","5/27/12","Stray","Cat","Intact","Female",0,"Injured or Sick","Siamese Mix","","","","","","",NA,NA,"","Seal Pt & White",3.5,"No Lab Test"," 6/2/12","Humane Euthanasia",6
"K12-008910","5/27/12","Stray","Dog","Spayed","Female",3,"Normal","Siberian Husky Mix","N","Y","Y","N","Y","N",13,60,"Working","Red & White",55,"Heartworm Negative"," 5/30/12","Return to Owner",3
"K12-008919","5/27/12","Stray","Cat","Intact","Female",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Torbie ",1.5,"FeLV Negative, FIV Negative"," 6/6/12","Humane Euthanasia",10
"K12-008933","5/27/12","Owner Surrender","Cat","Neutered","Male",0,"Normal","Cymric Mix","","","","","","",NA,NA,"","Brn Tabby ",2,"FeLV Negative, FIV Negative"," 6/3/12","Adoption",7
"K12-008968","5/27/12","Stray","Dog","Neutered","Male",1,"Normal","Amer Bulldog ","N","N","N","Y","N","Y",12,55,"Non-Sporting","White & Blue",68,"Heartworm Negative"," 6/1/12","Return to Owner",5
"K12-008970","5/27/12","Stray","Dog","Neutered","Male",0,"Normal","Schnauzer Min Mix","N","N","N","N","N","Y",15,20,"Terrier","Gray & White",7.8,"No Lab Test"," 6/7/12","Adoption",11
"K12-009155","5/27/12","Stray","Cat","Spayed","Female",0,"Injured or Sick","Domestic Sh Mix","","","","","","",NA,NA,"","Torbie ",0.8,"No Lab Test"," 6/1/12","Transfer",5
"K12-009163","5/27/12","Owner Surrender","Cat","Neutered","Male",0,"Injured or Sick","Domestic Sh Mix","","","","","","",NA,NA,"","White & Org Tabby",1.5,"FeLV Negative, FIV Negative"," 6/30/12","Adoption",34
"K12-009243","5/27/12","Owner Surrender","Cat","Neutered","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Org Tabby & White",2.3,"FeLV Negative, FIV Negative"," 6/7/12","Transfer",11
"K12-009333","6/3/12","Public Assist","Cat","Spayed","Female",4,"Normal","Siamese Mix","","","","","","",NA,NA,"","Tortie Pt ",8.8,"FeLV Negative, FIV Negative"," 6/12/12","Return to Owner",9
"K12-009345","6/3/12","Stray","Dog","Spayed","Female",0,"Injured or Sick","Pit Bull Mix","N","N","N","Y","N","Y",14,90,"Terrier","Blue & White",2.8,"No Lab Test"," 6/4/12","Transfer",1
"K12-009515","6/3/12","Owner Surrender","Dog","Neutered","Male",1,"Injured or Sick","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","Brown ",4,"No Lab Test"," 6/7/12","Transfer",4
"K12-009549","6/3/12","Stray","Cat","Intact","Female",0,"Injured or Sick","Domestic Sh Mix","","","","","","",NA,NA,"","Black & White",1,"FeLV Negative, FIV Negative"," 6/8/12","Transfer",5
"K12-009596","6/3/12","Stray","Cat","Spayed","Female",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Black ",2.25,"FeLV Negative, FIV Negative"," 7/14/12","Transfer",41
"K12-009618","6/3/12","Stray","Cat","Spayed","Female",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Blue Tabby & White",1.5,"FeLV Negative, FIV Negative"," 6/9/12","Transfer",6
"K12-009648","6/3/12","Owner Surrender","Cat","Neutered","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Blue Tabby ",2.25,"FeLV Negative, FIV Negative"," 8/9/12","Adoption",67
"K12-009700","6/3/12","Stray","Cat","Neutered","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Brn Tabby & White",2.25,"FeLV Negative, FIV Negative"," 7/23/12","Adoption",50
"K12-009787","6/10/12","Stray","Cat","Spayed","Female",0,"Normal","Snowshoe Mix","","","","","","",NA,NA,"","Seal Pt & White",1.3,"No Lab Test"," 7/31/12","Adoption",51
"K12-009867","6/10/12","Owner Surrender","Dog","Neutered","Male",6,"Injured or Sick","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","Brown & White",5.8,"Heartworm Negative"," 6/13/12","Humane Euthanasia",3
"K12-009908","6/10/12","Stray","Cat","Spayed","Female",1,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Crm Tabby & White",4.75,"FeLV Negative, FIV Negative"," 7/8/12","Transfer",28
"K12-009950","6/10/12","Owner Surrender","Dog","Neutered","Male",5,"Normal","Min Pinscher Mix","N","Y","N","Y","N","Y",14,10,"Toy","Black & Tan",11.8,"Heartworm Negative"," 6/24/12","Humane Euthanasia",14
"K12-010001","6/10/12","Stray","Dog","Spayed","Female",8,"Normal","Weimaraner Mix","N","N","Y","Y","Y","Y",13,80,"Sporting","Red & White",40,"Heartworm Negative"," 6/15/12","Return to Owner",5
"K12-010129","6/10/12","Owner Surrender","Dog","Neutered","Male",2,"Injured or Sick","Aust Cattle Dog Mix","Y","N","Y","Y","N","Y",16,35,"Herding","Sable ",30,"No Lab Test"," 6/16/12","Transfer",6
"K12-010149","6/10/12","Stray","Dog","Spayed","Female",4,"Normal","Min Pinscher & Chihuahua Sh","N","Y","N","Y","N","Y",14,10,"Toy","Black & Tan",10.75,"Heartworm Negative"," 6/27/12","Adoption",17
"K12-010166","6/10/12","Owner Surrender","Cat","Neutered","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Black ",2.5,"FeLV Negative, FIV Negative"," 8/8/12","Adoption",59
"K12-010195","6/17/12","Stray","Dog","Neutered","Male",2,"Normal","Staffordshire Mix","N","N","Y","Y","Y","Y",16,88,"Terrier","Blue ",42,"Heartworm Negative"," 7/13/12","Adoption",26
"K12-010197","6/17/12","Stray","Cat","Neutered","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Black & White",3.5,"FeLV Negative, FIV Negative"," 1/4/13","Adoption",201
"K12-010276","6/17/12","Owner Surrender","Dog","Neutered","Male",0,"Injured or Sick","Maltese & Poodle Min","N","N","N","N","Y","Y",14,7,"Toy","Black & White",7.25,"No Lab Test"," 6/29/12","Adoption",12
"K12-010358","6/17/12","Owner Surrender","Cat","Neutered","Male",7,"Normal","Domestic Mh Mix","","","","","","",NA,NA,"","Org Tabby & White",9.75,"FeLV Negative, FIV Positive"," 6/30/12","Humane Euthanasia",13
"K12-010457","6/17/12","Stray","Dog","Spayed","Female",1,"Normal","Labrador Retr Mix","N","Y","Y","Y","Y","Y",12,79,"Sporting","Black ",53,"Heartworm Negative"," 7/5/12","Adoption",18
"K12-010475","6/17/12","Owner Surrender","Cat","Neutered","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Black ",2.5,"FeLV Negative, FIV Negative"," 6/24/12","Transfer",7
"K12-010510","6/17/12","Stray","Dog","Spayed","Female",2,"Normal","Great Pyrenees Mix","N","N","Y","N","N","Y",12,120,"Herding","White ",80.5,"Heartworm Negative"," 6/24/12","Return to Owner",7
"K12-010554","6/17/12","Stray","Cat","Neutered","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Brn Tabby ",3,"FeLV Negative, FIV Negative"," 6/26/12","Adoption",9
"K12-010602","6/17/12","Stray","Dog","Spayed","Female",3,"Normal","Pomeranian Mix","N","N","N","N","Y","Y",16,8,"Toy","Brown & White",12.5,"Heartworm Negative"," 6/27/12","Adoption",10
"K12-010733","6/24/12","Stray","Dog","Spayed","Female",0,"Normal","Pointer Mix","N","N","N","Y","N","Y",15,75,"Sporting","Black & White",10.25,"No Lab Test"," 7/1/12","Adoption",7
"K12-010739","6/24/12","Stray","Dog","Spayed","Female",9,"Injured or Sick","Rat Terrier Mix","N","N","Y","N","Y","Y",14,25,"Terrier","White & Tricolor",7.75,"Heartworm Negative"," 7/31/12","Transfer",37
"K12-010787","6/24/12","Owner Surrender","Dog","Neutered","Male",7,"Injured or Sick","Great Dane ","N","N","Y","Y","Y","Y",10,180,"Working","Black & White",97,"Heartworm Positive"," 7/11/12","Transfer",17
"K12-010830","6/24/12","Stray","Dog","Spayed","Female",2,"Injured or Sick","Staffordshire Mix","N","N","Y","Y","Y","Y",16,88,"Terrier","Tan ",38,"Heartworm Negative"," 6/30/12","Transfer",6
"K12-010891","6/24/12","Owner Surrender","Cat","Spayed","Female",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Black & White",1.75,"FeLV Negative, FIV Negative"," 7/8/12","Transfer",14
"K12-010912","6/24/12","Stray","Cat","Neutered","Male",5,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","White & Black",9.75,"FeLV Negative, FIV Positive"," 11/11/12","Transfer",140
"K12-011011","6/24/12","Stray","Dog","Neutered","Male",2,"Normal","Pit Bull Mix","N","N","N","Y","N","Y",14,90,"Terrier","White & Brown",77.5,"Heartworm Negative"," 7/1/12","Return to Owner",7
"K12-011034","6/24/12","Stray","Cat","Spayed","Female",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Calico ",2.25,"FeLV Negative, FIV Negative"," 7/3/12","Adoption",9
"K12-011112","6/24/12","Owner Surrender","Cat","Intact","Female",0,"Injured or Sick","Domestic Sh Mix","","","","","","",NA,NA,"","Black ",0.25,"FeLV Negative, FIV Negative"," 6/30/12","Transfer",6
"K12-011207","7/1/12","Stray","Cat","Intact","Female",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Torbie ",0.5,"No Lab Test"," 7/2/12","Transfer",1
"K12-011262","7/1/12","Stray","Dog","Neutered","Male",1,"Normal","Jack Russ Terr & Dachshund","N","N","Y","Y","N","Y",16,18,"Sporting","Black & White",20.75,"Heartworm Negative"," 7/9/12","Adoption",8
"K12-011284","7/1/12","Stray","Cat","Spayed","Female",0,"Normal","Domestic Mh Mix","","","","","","",NA,NA,"","Black ",2.75,"FeLV Negative, FIV Negative"," 8/7/12","Transfer",37
"K12-011380","7/1/12","Stray","Dog","Neutered","Male",1,"Normal","Scot Terrier Mix","N","Y","Y","Y","N","Y",13,22,"Terrier","Black ",8.25,"Heartworm Negative"," 7/10/12","Adoption",9
"K12-011441","7/1/12","Stray","Cat","Spayed","Female",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Brn Tabby & White",3,"FeLV Negative, FIV Negative"," 7/9/12","Adoption",8
"K12-011443","7/1/12","Stray","Dog","Neutered","Male",7,"Normal","Germ Shepherd Mix","N","N","Y","Y","N","Y",12,88,"Working","Gray ",45,"Heartworm Positive"," 7/6/12","Return to Owner",5
"K12-011527","7/1/12","Stray","Cat","Spayed","Female",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Black & White",3.75,"FeLV Negative, FIV Negative"," 7/23/12","Adoption",22
"K12-011537","7/1/12","Owner Surrender","Dog","Neutered","Male",0,"Normal","Pit Bull Mix","N","N","N","Y","N","Y",14,90,"Terrier","Br Brindle ",14,"No Lab Test"," 7/8/12","Adoption",7
"K12-011551","7/1/12","Owner Surrender","Cat","Spayed","Female",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Brn Tabby ",1.25,"FeLV Negative, FIV Negative"," 7/6/12","Transfer",5
"K12-011584","7/1/12","Stray","Dog","Spayed","Female",0,"Normal","Pointer Mix","N","N","N","Y","N","Y",15,75,"Sporting","Black & White",17.25,"No Lab Test"," 7/15/12","Transfer",14
"K12-011616","7/1/12","Owner Surrender","Dog","Intact","Male",3,"Normal","Pit Bull Mix","N","N","N","Y","N","Y",14,90,"Terrier","Brown ",70,"No Lab Test"," 7/9/12","Humane Euthanasia",8
"K12-011646","7/1/12","Stray","Cat","Spayed","Female",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Calico ",2,"FeLV Negative, FIV Negative"," 8/20/12","Adoption",50
"K12-011712","7/8/12","Owner Surrender","Cat","Spayed","Female",2,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Torbie & White",6.5,"FeLV Negative, FIV Negative"," 7/14/12","Transfer",6
"K12-011789","7/8/12","Stray","Dog","Neutered","Male",0,"Normal","Min Pinscher Mix","N","Y","N","Y","N","Y",14,10,"Toy","Black & Brown",8,"No Lab Test"," 7/15/12","Adoption",7
"K12-011796","7/8/12","Stray","Dog","Spayed","Female",0,"Normal","Catahoula Mix","N","Y","N","N","N","Y",13,80,"Herding","Brown & White",26.25,"No Lab Test"," 8/18/12","Adoption",41
"K12-011803","7/8/12","Stray","Dog","Spayed","Female",2,"Normal","Saluki Mix","N","N","N","N","N","N",16,66,"Hound","Tan & White",45,"Heartworm Negative"," 7/26/12","Adoption",18
"K12-011840","7/8/12","Stray","Dog","Intact","Male",5,"Normal","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","Brown ",10.75,"Heartworm Negative"," 7/14/12","Transfer",6
"K12-011865","7/8/12","Stray","Cat","Intact","Female",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Calico ",0.75,"FeLV Negative, FIV Negative"," 7/10/12","Transfer",2
