"Impound.No","Intake.Date","Intake.Type","Animal.Type","Neutered.Status","Sex","Age.Intake","Condition","Breed","Aggressive","Independent","Intelligent","Loyal","Social","Good.with.Kids","Max.Life.Expectancy","Max.Weight","Dog.Group","Color","Weight","Lab.Test","Outcome.Date","Outcome.Type","Days.Shelter"
"K12-011913","7/8/12","Stray","Dog","Spayed","Female",1,"Normal","Boston Terrier Mix","N","N","Y","N","Y","Y",15,25,"Non-Sporting","Black & White",17,"Heartworm Negative"," 7/15/12","Transfer",7
"K12-011946","7/8/12","Stray","Dog","Neutered","Male",4,"Normal","Pit Bull Mix","N","N","N","Y","N","Y",14,90,"Terrier","Red & White",72.25,"Heartworm Positive"," 8/24/12","Humane Euthanasia",47
"K12-011947","7/8/12","Stray","Dog","Neutered","Male",0,"Normal","Bluetick Hound Mix","N","N","Y","Y","Y","Y",12,80,"Hound","Blue Tick ",4.5,"No Lab Test"," 7/13/12","Transfer",5
"K12-012085","7/8/12","Stray","Cat","Neutered","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Org Tabby ",2.25,"FeLV Negative, FIV Negative"," 7/18/12","Adoption",10
"K12-012196","7/8/12","Stray","Cat","Neutered","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Org Tabby & White",3.75,"FeLV Negative, FIV Negative"," 7/19/12","Transfer",11
"K12-012342","7/15/12","Stray","Cat","Spayed","Female",0,"Injured or Sick","Domestic Sh Mix","","","","","","",NA,NA,"","Black ",2.5,"FeLV Negative, FIV Negative"," 9/4/12","Adoption",51
"K12-012424","7/15/12","Stray","Cat","Intact","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Gray Tabby & White",0.5,"No Lab Test"," 7/17/12","Transfer",2
"K12-012536","7/15/12","Stray","Dog","Spayed","Female",3,"Normal","Catahoula Mix","N","Y","N","N","N","Y",13,80,"Herding","Tan & White",39,"No Lab Test"," 7/19/12","Return to Owner",4
"K12-012562","7/15/12","Owner Surrender","Cat","Spayed","Female",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Black ",2,"FeLV Negative, FIV Negative"," 8/1/12","Adoption",17
"K12-012668","7/15/12","Stray","Dog","Intact","Female",0,"Normal","Chihuahua Lh Mix","N","N","Y","N","N","N",18,6,"Toy","Black & Tan",4.25,"No Lab Test"," 7/23/12","Return to Owner",8
"K12-012681","7/15/12","Stray","Cat","Spayed","Female",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Blue Tabby ",1,"No Lab Test"," 7/25/12","Transfer",10
"K12-012718","7/15/12","Owner Surrender","Dog","Neutered","Male",5,"Normal","Pit Bull Mix","N","N","N","Y","N","Y",14,90,"Terrier","Br Brindle & White",53,"Heartworm Negative"," 8/6/12","Transfer",22
"K12-012747","7/22/12","Stray","Cat","Intact","Female",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Blue Tabby ",0.5,"No Lab Test"," 7/22/12","Return to Owner",0
"K12-012797","7/22/12","Stray","Dog","Neutered","Male",0,"Normal","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","White & Tan",2.5,"No Lab Test"," 7/29/12","Adoption",7
"K12-012811","7/22/12","Stray","Cat","Spayed","Female",2,"Injured or Sick","Siamese Mix","","","","","","",NA,NA,"","Seal Pt ",5,"No Lab Test"," 7/27/12","Humane Euthanasia",5
"K12-012824","7/22/12","Stray","Cat","Neutered","Male",0,"Normal","Siamese Mix","","","","","","",NA,NA,"","Seal Pt ",0.75,"No Lab Test"," 7/27/12","Transfer",5
"K12-012935","7/22/12","Stray","Cat","Spayed","Female",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Torbie & White",4.25,"FeLV Negative, FIV Negative"," 7/30/12","Adoption",8
"K12-012984","7/22/12","Stray","Dog","Neutered","Male",0,"Injured or Sick","Labrador Retr Mix","N","Y","Y","Y","Y","Y",12,79,"Sporting","Black & White",35,"No Lab Test"," 7/29/12","Adoption",7
"K12-013030","7/22/12","Stray","Dog","Neutered","Male",0,"Normal","Germ Shepherd & Bloodhound","N","N","Y","Y","N","Y",12,88,"Working","Brown & Black",12.5,"No Lab Test"," 7/30/12","Adoption",8
"K12-013050","7/22/12","Owner Surrender","Dog","Neutered","Male",0,"Normal","Pit Bull Mix","N","N","N","Y","N","Y",14,90,"Terrier","White & Br Brindle",3.75,"No Lab Test"," 7/26/12","Transfer",4
"K12-013078","7/22/12","Stray","Cat","Neutered","Male",0,"Injured or Sick","Domestic Sh Mix","","","","","","",NA,NA,"","Brn Tabby ",2,"FeLV Negative, FIV Negative"," 9/29/12","Adoption",69
"K12-013081","7/22/12","Stray","Cat","Spayed","Female",0,"Injured or Sick","Domestic Sh Mix","","","","","","",NA,NA,"","Tortie ",2.25,"FeLV Negative, FIV Negative"," 10/8/12","Adoption",78
"K12-013099","7/22/12","Owner Surrender","Dog","Neutered","Male",2,"Normal","Pit Bull Mix","N","N","N","Y","N","Y",14,90,"Terrier","Brown & White",52,"Heartworm Negative"," 8/15/12","Humane Euthanasia",24
"K12-013106","7/22/12","Owner Surrender","Cat","Intact","Male",3,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Org Tabby & White",8.5,"FeLV Negative, FIV Negative"," 7/30/12","Transfer",8
"K12-013134","7/22/12","Owner Surrender","Dog","Neutered","Male",5,"Normal","Pit Bull Mix","N","N","N","Y","N","Y",14,90,"Terrier","Blue & White",51,"Heartworm Negative"," 8/14/12","Humane Euthanasia",23
"K12-013146","7/22/12","Owner Surrender","Dog","Spayed","Female",15,"Injured or Sick","Collie Smooth Mix","N","N","Y","Y","Y","Y",15,55,"Herding","Tan & Brown",45.99,"No Lab Test"," 7/28/12","Humane Euthanasia",6
"K12-013174","7/22/12","Owner Surrender","Dog","Spayed","Female",0,"Normal","Welsh Spr Span Mix","N","N","Y","Y","Y","Y",15,34,"Herding","Liver & White",8.5,"No Lab Test"," 7/30/12","Transfer",8
"K12-013289","7/29/12","Stray","Cat","Spayed","Female",0,"Injured or Sick","Domestic Mh Mix","","","","","","",NA,NA,"","Brn Tabby ",2,"FeLV Negative, FIV Negative"," 9/16/12","Adoption",49
"K12-013337","7/29/12","Stray","Cat","Intact","Female",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","White ",0.75,"FeLV Negative, FIV Negative"," 7/30/12","Transfer",1
"K12-013351","7/29/12","Stray","Cat","Intact","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Black ",0.75,"FeLV Negative, FIV Negative"," 7/30/12","Transfer",1
"K12-013442","7/29/12","Stray","Dog","Neutered","Male",1,"Normal","Boxer Mix","N","N","Y","Y","Y","Y",12,72,"Working","Black & White",35,"Heartworm Negative"," 8/2/12","Return to Owner",4
"K12-013466","7/29/12","Owner Surrender","Cat","Neutered","Male",11,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","White & Brn Tabby",8.5,"FeLV Negative, FIV Negative"," 8/10/12","Humane Euthanasia",12
"K12-013477","7/29/12","Stray","Cat","Intact","Male",0,"Injured or Sick","Domestic Sh Mix","","","","","","",NA,NA,"","Blue Tabby & White",0.75,"FeLV Negative, FIV Negative"," 8/1/12","Transfer",3
"K12-013542","7/29/12","Stray","Dog","Intact","Female",5,"Normal","Welsh Corgi Car Mix","N","N","Y","Y","Y","Y",15,34,"Herding","Red Merle ",25,"Heartworm Positive"," 8/8/12","Transfer",10
"K12-013561","7/29/12","Stray","Dog","Spayed","Female",1,"Normal","Aust Shepherd & Border Collie","N","N","Y","Y","Y","Y",15,65,"Herding","Chocolate & White",33,"Heartworm Negative"," 8/21/12","Transfer",23
"K12-013562","7/29/12","Stray","Dog","Spayed","Female",0,"Normal","Chinese Sharpei Mix","N","Y","N","Y","N","Y",10,65,"Non-Sporting","Tan ",13.25,"No Lab Test"," 8/8/12","Adoption",10
"K12-013589","7/29/12","Stray","Dog","Neutered","Male",0,"Normal","Catahoula Mix","N","Y","N","N","N","Y",13,80,"Herding","Black & Bl Brindle",29,"No Lab Test"," 8/31/12","Adoption",33
"K12-013608","7/29/12","Stray","Cat","Intact","Male",0,"Injured or Sick","Domestic Sh Mix","","","","","","",NA,NA,"","Black ",0.5,"No Lab Test"," 8/7/12","Transfer",9
"K12-013664","7/29/12","Public Assist","Dog","Neutered","Male",9,"Normal","Labrador Retr Mix","N","Y","Y","Y","Y","Y",12,79,"Sporting","Black & White",89.5,"Heartworm Negative"," 8/12/12","Return to Owner",14
"K12-013679","7/29/12","Owner Surrender","Cat","Neutered","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Org Tabby ",2,"FeLV Negative, FIV Negative"," 8/27/12","Adoption",29
"K12-013733","8/5/12","Public Assist","Dog","Neutered","Male",7,"Normal","Chow Chow & Germ Shepherd","Y","Y","Y","Y","N","N",15,70,"Non-Sporting","Brown & Black",51,"No Lab Test"," 8/14/12","Return to Owner",9
"K12-013759","8/5/12","Stray","Dog","Spayed","Female",1,"Normal","Dachshund Mix","Y","N","N","Y","Y","N",14,28,"Hound","Red ",11.5,"Heartworm Negative"," 8/12/12","Adoption",7
"K12-013763","8/5/12","Owner Surrender","Dog","Neutered","Male",5,"Normal","Labrador Retr Mix","N","Y","Y","Y","Y","Y",12,79,"Sporting","Gold ",84,"Heartworm Negative"," 11/26/12","Transfer",113
"K12-013796","8/5/12","Owner Surrender","Cat","Neutered","Male",0,"Normal","Domestic Mh Mix","","","","","","",NA,NA,"","Blue & White",3.75,"FeLV Negative, FIV Negative"," 8/11/12","Adoption",6
"K12-013815","8/5/12","Stray","Dog","Intact","Female",1,"Injured or Sick","Great Pyrenees Mix","N","N","Y","N","N","Y",12,120,"Herding","White ",40,"No Lab Test"," 8/11/12","Humane Euthanasia",6
"K12-013834","8/5/12","Stray","Cat","Intact","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Black ",0.5,"No Lab Test"," 8/7/12","Transfer",2
"K12-013850","8/5/12","Euthanasia Request","Dog","Neutered","Male",12,"Normal","Bearded Collie ","N","N","Y","Y","Y","Y",13,60,"Herding","Tan & Blue",33.5,"Heartworm Negative"," 8/7/12","Humane Euthanasia",2
"K12-013865","8/5/12","Stray","Dog","Neutered","Male",6,"Normal","Shih Tzu ","N","N","N","N","N","Y",16,16,"Non-Sporting","Gray & White",14,"Heartworm Negative"," 8/9/12","Return to Owner",4
"K12-014000","8/5/12","Stray","Dog","Intact","Female",5,"Normal","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","Tan ",16,"No Lab Test"," 8/11/12","Humane Euthanasia",6
"K12-014031","8/5/12","Stray","Dog","Spayed","Female",4,"Normal","Aust Cattle Dog Mix","Y","N","Y","Y","N","Y",16,35,"Herding","Brown ",35,"Heartworm Negative"," 8/14/12","Return to Owner",9
"K12-014074","8/5/12","Stray","Cat","Neutered","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Brn Tabby ",2.25,"FeLV Negative, FIV Negative"," 8/17/12","Transfer",12
"K12-014076","8/5/12","Stray","Dog","Intact","Male",0,"Injured or Sick","Am Pit Bull Ter Mix","N","N","N","Y","N","Y",14,90,"Terrier","Black & White",2,"No Lab Test"," 8/14/12","Died",9
"K12-014100","8/5/12","Stray","Dog","Neutered","Male",0,"Normal","Germ Shepherd Mix","N","N","Y","Y","N","Y",12,88,"Working","Black & Tan",30,"No Lab Test"," 8/17/12","Transfer",12
"K12-014285","8/12/12","Owner Surrender","Cat","Spayed","Female",0,"Injured or Sick","Domestic Lh Mix","","","","","","",NA,NA,"","Tortie ",1.25,"FeLV Negative, FIV Negative"," 12/13/12","Adoption",123
"K12-014365","8/12/12","Stray","Cat","Spayed","Female",0,"Normal","Siamese Mix","","","","","","",NA,NA,"","Seal Pt ",2.75,"FeLV Negative, FIV Negative"," 9/24/12","Adoption",43
"K12-014366","8/12/12","Stray","Cat","Neutered","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Black ",2.75,"FeLV Negative, FIV Negative"," 1/18/13","Adoption",159
"K12-014431","8/12/12","Owner Surrender","Cat","Neutered","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Black & White",2.75,"FeLV Negative, FIV Negative"," 8/25/12","Adoption",13
"K12-014482","8/12/12","Owner Surrender","Dog","Neutered","Male",2,"Injured or Sick","Pit Bull Mix","N","N","N","Y","N","Y",14,90,"Terrier","Black & White",58,"Heartworm Negative"," 11/2/12","Humane Euthanasia",82
"K12-014491","8/12/12","Stray","Dog","Spayed","Female",2,"Injured or Sick","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","Chocolate & Tan",8.25,"Heartworm Positive"," 9/10/12","Transfer",29
"K12-014492","8/12/12","Stray","Dog","Neutered","Male",1,"Normal","Aust Shepherd & Aust Cattle Dog","N","N","Y","Y","Y","Y",15,65,"Herding","Black & White",33,"Heartworm Negative"," 8/22/12","Adoption",10
"K12-014506","8/12/12","Stray","Dog","Neutered","Male",3,"Normal","Germ Shepherd Mix","N","N","Y","Y","N","Y",12,88,"Working","Black & Tan",31.25,"Heartworm Negative"," 8/23/12","Transfer",11
"K12-014526","8/12/12","Stray","Cat","Neutered","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Black ",3,"FeLV Negative, FIV Negative"," 9/3/12","Adoption",22
"K12-014537","8/12/12","Stray","Cat","Neutered","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Brn Tabby ",2.25,"No Lab Test"," 10/27/12","Adoption",76
"K12-014580","8/12/12","Stray","Cat","Neutered","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Lilac Pt ",0.5,"FeLV Negative, FIV Negative"," 8/22/12","Transfer",10
"K12-014606","8/12/12","Owner Surrender","Dog","Neutered","Male",0,"Normal","Anatol Shepherd & Germ Shepherd","Y","N","Y","Y","Y","Y",15,150,"Working","Tan & White",38.5,"No Lab Test"," 8/19/12","Adoption",7
"K12-014615","8/12/12","Stray","Cat","Spayed","Female",2,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Tortie ",7.5,"No Lab Test"," 8/22/12","Transfer",10
"K12-014740","8/19/12","Owner Surrender","Dog","Intact","Male",5,"Normal","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","Brown ",10.99,"No Lab Test"," 8/30/12","Transfer",11
"K12-014823","8/19/12","Stray","Dog","Neutered","Male",5,"Normal","Poodle Min Mix","N","N","Y","Y","N","Y",14,9,"Toy","White ",13.25,"Heartworm Positive"," 9/1/12","Adoption",13
"K12-014912","8/19/12","Stray","Dog","Spayed","Female",0,"Normal","Boston Terrier & Aust Cattle Dog","N","N","Y","N","Y","Y",15,25,"Non-Sporting","Br Brindle & White",6,"No Lab Test"," 9/22/12","Adoption",34
"K12-014917","8/19/12","Owner Surrender","Dog","Neutered","Male",6,"Normal","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","Black & Tan",13.25,"Heartworm Negative"," 8/28/12","Humane Euthanasia",9
"K12-014929","8/19/12","Stray","Dog","Spayed","Female",1,"Normal","Chihuahua Sh & Dachshund","N","N","Y","N","N","N",18,6,"Toy","White & Brown",13.75,"Heartworm Negative"," 8/29/12","Adoption",10
"K12-014980","8/19/12","Stray","Dog","Spayed","Female",1,"Normal","Pointer & Boxer","N","N","N","Y","N","Y",15,75,"Sporting","Brown & White",50,"Heartworm Negative"," 8/27/12","Return to Owner",8
"K12-014983","8/19/12","Owner Surrender","Dog","Spayed","Female",0,"Normal","Pekingese Mix","N","Y","N","N","N","Y",15,14,"Toy","White & Black",7.5,"No Lab Test"," 8/24/12","Transfer",5
"K12-015028","8/19/12","Owner Surrender","Cat","Neutered","Male",0,"Normal","Siamese Mix","","","","","","",NA,NA,"","Lynx Pt ",5,"FeLV Negative, FIV Negative"," 9/1/12","Adoption",13
"K12-015035","8/19/12","Owner Surrender","Dog","Spayed","Female",5,"Normal","Rat Terrier Mix","N","N","Y","N","Y","Y",14,25,"Terrier","Tricolor ",13.5,"Heartworm Negative"," 12/7/12","Adoption",110
"K12-015040","8/19/12","Stray","Cat","Spayed","Female",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","White & Orange",4,"FeLV Negative, FIV Negative"," 11/5/12","Adoption",78
"K12-015042","8/19/12","Stray","Dog","Spayed","Female",0,"Normal","Aust Shepherd Mix","N","N","Y","Y","Y","Y",15,65,"Herding","Black & Tan",28,"No Lab Test"," 8/30/12","Adoption",11
"K12-015112","8/26/12","Owner Surrender","Dog","Neutered","Male",1,"Normal","Germ Shepherd & Labrador Retr","N","N","Y","Y","N","Y",12,88,"Working","Black ",44,"No Lab Test"," 9/3/12","Adoption",8
"K12-015204","8/26/12","Owner Surrender","Cat","Intact","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Blk Tabby ",1.25,"FeLV Negative, FIV Negative"," 9/4/12","Transfer",9
"K12-015300","8/26/12","Stray","Cat","Intact","Male",0,"Injured or Sick","Domestic Sh Mix","","","","","","",NA,NA,"","Black & White",0.5,"FeLV Negative, FIV Negative"," 8/31/12","Humane Euthanasia",5
"K12-015323","8/26/12","Owner Surrender","Dog","Spayed","Female",2,"Normal","Labrador Retr Mix","N","Y","Y","Y","Y","Y",12,79,"Sporting","Black & White",57,"Heartworm Negative"," 9/8/12","Adoption",13
"K12-015352","8/26/12","Stray","Dog","Neutered","Male",0,"Normal","Labrador Retr Mix","N","Y","Y","Y","Y","Y",12,79,"Sporting","Black & White",27,"No Lab Test"," 9/2/12","Transfer",7
"K12-015461","8/26/12","Public Assist","Dog","Spayed","Female",1,"Normal","Pit Bull Mix","N","N","N","Y","N","Y",14,90,"Terrier","Brown & White",47,"No Lab Test"," 9/9/12","Return to Owner",14
"K12-015493","8/26/12","Stray","Cat","Intact","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Blk Tabby ",0.75,"FeLV Negative, FIV Negative"," 9/4/12","Transfer",9
"K12-015517","8/26/12","Stray","Cat","Neutered","Male",6,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Black & White",7.75,"FeLV Negative, FIV Negative"," 9/15/12","Transfer",20
"K12-015558","8/26/12","Owner Surrender","Dog","Spayed","Female",0,"Normal","Rhod Ridgeback Mix","N","Y","N","Y","N","Y",12,85,"Hound","Tan & White",9.25,"No Lab Test"," 9/3/12","Adoption",8
"K12-015624","9/2/12","Public Assist","Dog","Spayed","Female",2,"Normal","Aust Cattle Dog Mix","Y","N","Y","Y","N","Y",16,35,"Herding","Red Tick & Red",27,"Heartworm Negative"," 9/10/12","Return to Owner",8
"K12-015643","9/2/12","Stray","Dog","Intact","Male",2,"Normal","Pit Bull Mix","N","N","N","Y","N","Y",14,90,"Terrier","White ",50.99,"No Lab Test"," 9/9/12","Humane Euthanasia",7
"K12-015663","9/2/12","Stray","Dog","Spayed","Female",1,"Normal","Labrador Retr Mix","N","Y","Y","Y","Y","Y",12,79,"Sporting","Brown & White",37.5,"Heartworm Negative"," 9/8/12","Transfer",6
"K12-015733","9/2/12","Owner Surrender","Dog","Spayed","Female",0,"Normal","Bull Terrier Mix","Y","N","N","Y","Y","N",14,85,"Terrier","White & Br Brindle",8.25,"No Lab Test"," 9/5/12","Transfer",3
"K12-015761","9/2/12","Owner Surrender","Dog","Neutered","Male",0,"Normal","Chinese Sharpei & Pit Bull","N","Y","N","Y","N","Y",10,65,"Non-Sporting","Tan & White",36,"No Lab Test"," 9/4/12","Adoption",2
"K12-015838","9/2/12","Stray","Cat","Neutered","Male",0,"Normal","Domestic Mh Mix","","","","","","",NA,NA,"","Org Tabby ",4,"FeLV Negative, FIV Negative"," 12/20/12","Adoption",109
"K12-015874","9/2/12","Stray","Dog","Spayed","Female",8,"Normal","Germ Shepherd Mix","N","N","Y","Y","N","Y",12,88,"Working","Tan & Black",55,"Heartworm Negative"," 9/11/12","Return to Owner",9
"K12-015892","9/2/12","Owner Surrender","Dog","Neutered","Male",0,"Injured or Sick","Aust Cattle Dog Mix","Y","N","Y","Y","N","Y",16,35,"Herding","Black & White",11.5,"No Lab Test"," 9/8/12","Adoption",6
"K12-015913","9/2/12","Public Assist","Dog","Spayed","Female",2,"Normal","Am Pit Bull Ter ","N","N","N","Y","N","Y",14,90,"Terrier","Fawn ",57,"No Lab Test"," 9/28/12","Humane Euthanasia",26
"K12-015918","9/2/12","Stray","Dog","Intact","Male",1,"Normal","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","Chocolate & White",7.75,"Heartworm Negative"," 9/11/12","Transfer",9
"K12-015935","9/2/12","Public Assist","Dog","Neutered","Male",7,"Normal","English Springer Spaniel Mix","N","N","N","N","Y","Y",14,55,"Sporting","White & Liver",55,"Heartworm Positive"," 9/10/12","Return to Owner",8
"K12-015971","9/2/12","Stray","Dog","Spayed","Female",3,"Normal","Pit Bull Mix","N","N","N","Y","N","Y",14,90,"Terrier","White & Black",68.5,"Heartworm Negative"," 9/11/12","Return to Owner",9
"K12-016105","9/9/12","Owner Surrender","Dog","Spayed","Female",0,"Normal","Germ Shepherd Mix","N","N","Y","Y","N","Y",12,88,"Working","Br Brindle & White",13.75,"No Lab Test"," 9/10/12","Transfer",1
"K12-016163","9/9/12","Stray","Cat","Spayed","Female",8,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Brn Tabby & White",13.5,"FeLV Negative, FIV Negative"," 9/12/12","Return to Owner",3
"K12-016197","9/9/12","Stray","Dog","Spayed","Female",1,"Normal","Dachshund Wh Mix","Y","N","N","Y","Y","N",14,28,"Hound","Tan & White",7.25,"Heartworm Negative"," 9/15/12","Adoption",6
"K12-016234","9/9/12","Stray","Dog","Neutered","Male",1,"Normal","Rottweiler Mix","N","N","Y","N","N","N",12,110,"Working","Tricolor ",80.25,"Heartworm Negative"," 9/13/12","Return to Owner",4
"K12-016235","9/9/12","Stray","Dog","Intact","Female",13,"Normal","Pit Bull ","N","N","N","Y","N","Y",14,90,"Terrier","Br Brindle ",41,"Heartworm Positive"," 9/13/12","Return to Owner",4
"K12-016256","9/9/12","Owner Surrender","Cat","Neutered","Male",0,"Normal","Siamese Mix","","","","","","",NA,NA,"","White & Seal Pt",1.75,"FeLV Negative, FIV Negative"," 9/15/12","Adoption",6
"K12-016273","9/9/12","Owner Surrender","Dog","Spayed","Female",0,"Injured or Sick","Labrador Retr Mix","N","Y","Y","Y","Y","Y",12,79,"Sporting","Black ",42,"No Lab Test"," 9/16/12","Adoption",7
"K12-016297","9/9/12","Stray","Dog","Spayed","Female",7,"Normal","Lhasa Apso ","N","Y","N","Y","Y","Y",20,19,"Non-Sporting","Cream ",18,"Heartworm Negative"," 9/17/12","Transfer",8
"K12-016389","9/9/12","Owner Surrender","Dog","Neutered","Male",1,"Normal","Norfolk Terrier & Dachshund","Y","Y","N","N","N","Y",15,11,"Terrier","Tricolor ",16,"Heartworm Negative"," 9/18/12","Transfer",9
"K12-016396","9/9/12","Owner Surrender","Dog","Spayed","Female",2,"Normal","English Springer Spaniel","N","N","N","N","Y","Y",14,55,"Sporting","Chocolate & White",40.99,"No Lab Test"," 9/15/12","Transfer",6
"K12-016457","9/9/12","Stray","Dog","Neutered","Male",10,"Normal","Jack Russ Terr Mix","N","N","Y","Y","N","Y",16,18,"Sporting","White & Brown",16.5,"Heartworm Negative"," 9/30/12","Adoption",21
"K12-016477","9/9/12","Stray","Dog","Spayed","Female",0,"Normal","Labrador Retr & Am Pit Bull Ter","N","Y","Y","Y","Y","Y",12,79,"Sporting","Black & White",19.5,"No Lab Test"," 9/19/12","Adoption",10
"K12-016539","9/9/12","Stray","Cat","Neutered","Male",0,"Injured or Sick","Domestic Mh Mix","","","","","","",NA,NA,"","White & Brn Tabby",2.25,"FeLV Negative, FIV Negative"," 10/15/12","Adoption",36
"K12-016723","9/16/12","Stray","Cat","Intact","Male",0,"Injured or Sick","Domestic Sh Mix","","","","","","",NA,NA,"","Black & White",0.75,"FeLV Negative, FIV Negative"," 9/19/12","Transfer",3
"K12-016785","9/16/12","Stray","Dog","Intact","Male",6,"Normal","Pit Bull ","N","N","N","Y","N","Y",14,90,"Terrier","Blue & White",63,"Heartworm Negative"," 9/19/12","Return to Owner",3
"K12-016918","9/16/12","Stray","Dog","Intact","Male",0,"Normal","Bearded Collie Mix","N","N","Y","Y","Y","Y",13,60,"Herding","White & Black",35.99,"No Lab Test"," 10/5/12","Transfer",19
"K12-016943","9/16/12","Owner Surrender","Dog","Neutered","Male",1,"Normal","Labrador Retr Mix","N","Y","Y","Y","Y","Y",12,79,"Sporting","Yellow ",60.5,"Heartworm Negative"," 9/24/12","Adoption",8
"K12-016949","9/16/12","Stray","Dog","Neutered","Male",9,"Normal","Pit Bull Mix","N","N","N","Y","N","Y",14,90,"Terrier","Chocolate & White",54,"Heartworm Positive"," 9/24/12","Return to Owner",8
"K12-017010","9/16/12","Owner Surrender","Dog","Neutered","Male",4,"Normal","Yorkshire Terr & Poodle Min","N","N","N","Y","N","Y",15,7,"Terrier","Gray & Black",10.75,"Heartworm Negative"," 9/23/12","Adoption",7
"K12-017050","9/23/12","Stray","Cat","Intact","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Brn Tabby ",1,"FeLV Negative, FIV Negative"," 9/23/12","Transfer",0
