"Impound.No","Intake.Date","Intake.Type","Animal.Type","Neutered.Status","Sex","Age.Intake","Condition","Breed","Aggressive","Independent","Intelligent","Loyal","Social","Good.with.Kids","Max.Life.Expectancy","Max.Weight","Dog.Group","Color","Weight","Lab.Test","Outcome.Date","Outcome.Type","Days.Shelter"
"K12-017101","9/23/12","Stray","Cat","Neutered","Male",10,"Injured or Sick","Domestic Lh Mix","","","","","","",NA,NA,"","Org Tabby & White",5.75,"FeLV Negative, FIV Negative"," 9/30/12","Humane Euthanasia",7
"K12-017211","9/9/12","Owner Surrender","Cat","Neutered","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Org Tabby & White",2.25,"FeLV Negative, FIV Negative"," 9/25/12","Adoption",16
"K12-017472","9/23/12","Stray","Dog","Spayed","Female",5,"Normal","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","Tan & White",8.25,"Heartworm Negative"," 10/4/12","Adoption",11
"K12-017492","9/23/12","Owner Surrender","Dog","Spayed","Female",4,"Normal","Shiba Inu Mix","N","Y","Y","Y","N","Y",15,23,"Non-Sporting","Tan & Black",38.25,"Heartworm Negative"," 10/1/12","Adoption",8
"K12-017504","9/23/12","Owner Surrender","Cat","Spayed","Female",9,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","White & Brn Tabby",11.5,"FeLV Negative, FIV Negative"," 12/24/12","Adoption",92
"K12-017507","9/23/12","Stray","Cat","Spayed","Female",5,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","White ",8.25,"FeLV Negative, FIV Negative"," 1/29/13","Adoption",128
"K12-017509","9/23/12","Stray","Cat","Neutered","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Blue Tabby ",2,"FeLV Negative, FIV Negative"," 11/20/12","Adoption",58
"K12-017686","9/30/12","Stray","Cat","Intact","Male",0,"Injured or Sick","Domestic Sh Mix","","","","","","",NA,NA,"","Black ",0.5,"No Lab Test"," 10/3/12","Transfer",3
"K12-017687","9/30/12","Stray","Cat","Intact","Female",0,"Injured or Sick","Domestic Sh Mix","","","","","","",NA,NA,"","Black ",1.75,"No Lab Test"," 10/6/12","Humane Euthanasia",6
"K12-017693","9/30/12","Stray","Dog","Neutered","Male",0,"Normal","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","Brown & White",5.75,"No Lab Test"," 10/7/12","Adoption",7
"K12-017727","9/30/12","Owner Surrender","Cat","Spayed","Female",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Brn Tabby ",3.5,"FeLV Negative, FIV Negative"," 10/5/12","Adoption",5
"K12-017766","9/30/12","Stray","Dog","Spayed","Female",1,"Injured or Sick","Pointer Mix","N","N","N","Y","N","Y",15,75,"Sporting","Brown & White",35.5,"Heartworm Negative"," 10/12/12","Adoption",12
"K12-017795","9/30/12","Stray","Cat","Intact","Female",0,"Normal","Domestic Lh Mix","","","","","","",NA,NA,"","Black ",1.25,"FeLV Negative, FIV Negative"," 10/8/12","Transfer",8
"K12-017797","9/30/12","Stray","Dog","Neutered","Male",11,"Normal","Aust Shepherd Mix","N","N","Y","Y","Y","Y",15,65,"Herding","Tricolor & White",55.5,"Heartworm Negative"," 10/3/12","Return to Owner",3
"K12-017827","9/30/12","Stray","Cat","Spayed","Female",2,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Brn Tabby ",8,"No Lab Test"," 10/9/12","Transfer",9
"K12-017849","9/30/12","Owner Surrender","Dog","Neutered","Male",2,"Normal","Maltese Mix","N","N","N","N","Y","Y",14,7,"Toy","White ",12.75,"Heartworm Negative"," 10/5/12","Adoption",5
"K12-017858","9/30/12","Stray","Cat","Intact","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Blue ",2.5,"FeLV Negative, FIV Negative"," 10/10/12","Humane Euthanasia",10
"K12-017872","9/30/12","Stray","Cat","Spayed","Female",2,"Injured or Sick","Domestic Mh Mix","","","","","","",NA,NA,"","Torbie ",6.75,"FeLV Negative, FIV Negative"," 10/22/12","Adoption",22
"K12-017961","9/30/12","Stray","Dog","Spayed","Female",2,"Normal","Beagle & Germ Shepherd","N","N","Y","N","Y","Y",15,35,"Hound","Black & Tan",32,"Heartworm Negative"," 10/16/12","Adoption",16
"K12-017990","9/30/12","Stray","Cat","Intact","Female",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Blue Tabby & White",0.25,"FeLV Negative, FIV Negative"," 10/9/12","Transfer",9
"K12-018009","10/7/12","Stray","Dog","Intact","Male",3,"Injured or Sick","Border Collie ","N","N","Y","N","Y","Y",13,45,"Herding","Black & White",35,"Heartworm Negative"," 10/13/12","Died",6
"K12-018048","10/7/12","Stray","Dog","Intact","Female",9,"Normal","Harrier Mix","N","N","Y","N","N","Y",15,60,"Hound","Black & Tan",38.25,"Heartworm Negative"," 10/8/12","Return to Owner",1
"K12-018064","10/7/12","Stray","Cat","Neutered","Male",0,"Normal","Domestic Lh Mix","","","","","","",NA,NA,"","Black & White",1.5,"FeLV Negative, FIV Negative"," 10/25/12","Adoption",18
"K12-018107","10/7/12","Stray","Cat","Intact","Female",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Brn Tabby & White",0.5,"No Lab Test"," 10/9/12","Transfer",2
"K12-018170","10/7/12","Stray","Cat","Intact","Male",0,"Normal","Domestic Mh Mix","","","","","","",NA,NA,"","White & Black",1,"No Lab Test"," 10/18/12","Transfer",11
"K12-018427","10/14/12","Stray","Cat","Neutered","Male",7,"Injured or Sick","Domestic Sh Mix","","","","","","",NA,NA,"","Brn Tabby ",7.75,"FeLV Negative, FIV Negative"," 10/19/12","Humane Euthanasia",5
"K12-018459","10/14/12","Stray","Dog","Spayed","Female",1,"Normal","Plott Hound Mix","N","N","N","N","Y","N",14,27,"Hound","Br Brindle & White",52,"Heartworm Negative"," 10/23/12","Adoption",9
"K12-018467","10/14/12","Stray","Dog","Spayed","Female",5,"Normal","Germ Shepherd Mix","N","N","Y","Y","N","Y",12,88,"Working","Brown & Black",67,"Heartworm Negative"," 10/15/12","Return to Owner",1
"K12-018514","10/14/12","Stray","Dog","Neutered","Male",1,"Normal","Pit Bull Mix","N","N","N","Y","N","Y",14,90,"Terrier","Brown & White",30,"No Lab Test"," 10/20/12","Adoption",6
"K12-018722","10/14/12","Stray","Cat","Spayed","Female",1,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Torbie ",7.25,"No Lab Test"," 10/22/12","Transfer",8
"K12-018827","10/14/12","Stray","Cat","Spayed","Female",0,"Injured or Sick","Domestic Sh Mix","","","","","","",NA,NA,"","Black ",3,"FeLV Negative, FIV Negative"," 11/16/12","Adoption",33
"K12-018829","10/14/12","Stray","Dog","Spayed","Female",6,"Normal","Jack Russ Terr Mix","N","N","Y","Y","N","Y",16,18,"Sporting","White & Brown",27,"Heartworm Negative"," 10/20/12","Return to Owner",6
"K12-018868","10/14/12","Stray","Dog","Neutered","Male",3,"Normal","Labrador Retr Mix","N","Y","Y","Y","Y","Y",12,79,"Sporting","Black & White",59,"Heartworm Negative"," 2/11/13","Adoption",120
"K12-018882","10/14/12","Owner Surrender","Dog","Neutered","Male",0,"Normal","Labrador Retr & Germ Shepherd","N","Y","Y","Y","Y","Y",12,79,"Sporting","Tan & Black",55,"No Lab Test"," 10/22/12","Adoption",8
"K12-018901","10/21/12","Stray","Dog","Neutered","Male",0,"Normal","Beagle Mix","N","N","Y","N","Y","Y",15,35,"Hound","Black & White",9.5,"No Lab Test"," 10/26/12","Adoption",5
"K12-019050","10/21/12","Stray","Dog","Neutered","Male",7,"Normal","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","Black & White",6.5,"Heartworm Negative"," 10/23/12","Return to Owner",2
"K12-019088","10/21/12","Stray","Dog","Neutered","Male",2,"Normal","Poodle Stnd & Labrador Retr","N","Y","Y","N","Y","Y",15,77,"Crossbreed","Buff ",35.5,"Heartworm Negative"," 10/24/12","Return to Owner",3
"K12-019119","10/21/12","Owner Surrender","Cat","Neutered","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Brn Tabby & White",3.5,"FeLV Negative, FIV Negative"," 3/27/13","Transfer",157
"K12-019121","10/21/12","Owner Surrender","Cat","Neutered","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Brn Tabby & White",4.75,"FeLV Negative, FIV Negative"," 11/3/12","Adoption",13
"K12-019141","10/21/12","Stray","Cat","Neutered","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Black ",2.75,"FeLV Negative, FIV Negative"," 12/13/12","Humane Euthanasia",53
"K12-019143","10/21/12","Stray","Cat","Neutered","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Org Tabby ",5.5,"FeLV Negative, FIV Negative"," 1/23/13","Adoption",94
"K12-019152","10/21/12","Stray","Cat","Intact","Female",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Calico ",1,"FeLV Negative, FIV Negative"," 10/24/12","Transfer",3
"K12-019178","10/21/12","Stray","Dog","Neutered","Male",3,"Normal","Black Mouth Cur Mix","N","Y","Y","Y","N","Y",14,90,"Sporting","Tan & Black",59.5,"Heartworm Negative"," 10/25/12","Return to Owner",4
"K12-019214","10/21/12","Stray","Dog","Neutered","Male",1,"Normal","Amer Bulldog ","N","N","N","Y","N","Y",12,55,"Non-Sporting","White & Brown",62.25,"Heartworm Negative"," 11/18/12","Transfer",28
"K12-019223","10/21/12","Public Assist","Cat","Spayed","Female",0,"Normal","Siamese Mix","","","","","","",NA,NA,"","Lynx Pt ",2.5,"FeLV Negative, FIV Negative"," 12/24/12","Adoption",64
"K12-019228","10/21/12","Owner Surrender","Cat","Neutered","Male",2,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Brn Tabby ",9.25,"FeLV Negative, FIV Negative"," 11/2/12","Transfer",12
"K12-019356","10/21/12","Stray","Dog","Spayed","Female",1,"Normal","Rat Terrier & Chihuahua Sh","N","N","Y","N","Y","Y",14,25,"Terrier","Black & White",9.5,"Heartworm Negative"," 10/28/12","Return to Owner",7
"K12-019411","10/28/12","Stray","Dog","Neutered","Male",0,"Normal","Pit Bull ","N","N","N","Y","N","Y",14,90,"Terrier","Black & White",11.75,"No Lab Test"," 1/2/13","Adoption",66
"K12-019463","10/28/12","Owner Surrender","Dog","Neutered","Male",4,"Injured or Sick","Dachshund Mix","Y","N","N","Y","Y","N",14,28,"Hound","Red & White",7,"Heartworm Negative"," 11/20/12","Transfer",23
"K12-019734","10/28/12","Stray","Dog","Neutered","Male",0,"Normal","Pekingese & Pug","N","Y","N","N","N","Y",15,14,"Toy","White ",6.25,"No Lab Test"," 11/7/12","Adoption",10
"K12-019867","11/4/12","Stray","Dog","Spayed","Female",8,"Normal","Dalmatian Mix","N","N","N","Y","Y","Y",14,65,"Non-Sporting","White & Black",43,"No Lab Test"," 11/7/12","Transfer",3
"K12-019892","11/4/12","Owner Surrender","Cat","Neutered","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Blue Tabby & White",6,"FeLV Negative, FIV Negative"," 11/16/12","Adoption",12
"K12-019948","11/4/12","Stray","Cat","Neutered","Male",1,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Black & White",9.75,"FeLV Negative, FIV Negative"," 12/23/12","Adoption",49
"K12-019963","11/4/12","Stray","Dog","Neutered","Male",1,"Injured or Sick","Pit Bull Mix","N","N","N","Y","N","Y",14,90,"Terrier","Blue & White",59,"Heartworm Negative"," 11/19/12","Adoption",15
"K12-020061","11/4/12","Stray","Dog","Spayed","Female",0,"Normal","Poodle Min Mix","N","N","Y","Y","N","Y",14,9,"Toy","White ",4.25,"No Lab Test"," 11/12/12","Transfer",8
"K12-020126","11/4/12","Stray","Cat","Neutered","Male",5,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Org Tabby ",11.5,"FeLV Negative, FIV Negative"," 11/14/12","Transfer",10
"K12-020197","11/4/12","Stray","Cat","Intact","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Brn Tabby ",2,"FeLV Negative, FIV Negative"," 11/15/12","Transfer",11
"K12-020205","11/4/12","Stray","Cat","Intact","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Brn Tabby & White",1.25,"FeLV Negative, FIV Negative"," 11/15/12","Transfer",11
"K12-020294","11/11/12","Stray","Cat","Intact","Male",0,"Normal","Domestic Mh Mix","","","","","","",NA,NA,"","White & Black",0.75,"No Lab Test"," 11/12/12","Transfer",1
"K12-020320","11/11/12","Owner Surrender","Dog","Neutered","Male",1,"Normal","Jack Russ Terr & Labrador Retr","N","N","Y","Y","N","Y",16,18,"Sporting","Black & Brown",26.5,"Heartworm Negative"," 11/19/12","Transfer",8
"K12-020475","11/11/12","Owner Surrender","Dog","Neutered","Male",17,"Injured or Sick","Dachshund ","Y","N","N","Y","Y","N",14,28,"Hound","Brown ",6.5,"No Lab Test"," 11/15/12","Humane Euthanasia",4
"K12-020543","11/11/12","Owner Surrender","Dog","Spayed","Female",1,"Normal","Labrador Retr Mix","N","Y","Y","Y","Y","Y",12,79,"Sporting","Tan ",55,"Heartworm Negative"," 11/25/12","Adoption",14
"K12-020563","11/11/12","Owner Surrender","Dog","Spayed","Female",2,"Normal","Boxer Mix","N","N","Y","Y","Y","Y",12,72,"Working","Black ",48,"Heartworm Negative"," 12/12/12","Transfer",31
"K12-020570","11/11/12","Stray","Dog","Spayed","Female",1,"Normal","Beagle & Aust Shepherd","N","N","Y","N","Y","Y",15,35,"Hound","Black & Tricolor",29,"No Lab Test"," 11/17/12","Return to Owner",6
"K12-020631","11/11/12","Stray","Cat","Spayed","Female",0,"Normal","Domestic Lh Mix","","","","","","",NA,NA,"","Black ",2.25,"FeLV Negative, FIV Negative"," 12/14/12","Adoption",33
"K12-020656","11/18/12","Stray","Dog","Spayed","Female",0,"Normal","Labrador Retr & Aust Cattle Dog","N","Y","Y","Y","Y","Y",12,79,"Sporting","Black & White",12.75,"No Lab Test"," 11/24/12","Adoption",6
"K12-020669","11/18/12","Stray","Dog","Spayed","Female",1,"Normal","Pit Bull Mix","N","N","N","Y","N","Y",14,90,"Terrier","White & Black",39,"Heartworm Negative"," 12/2/12","Adoption",14
"K12-020696","11/18/12","Owner Surrender","Dog","Spayed","Female",0,"Normal","Boxer Mix","N","N","Y","Y","Y","Y",12,72,"Working","Brown & White",5,"No Lab Test"," 11/19/12","Transfer",1
"K12-020709","11/18/12","Stray","Dog","Spayed","Female",2,"Normal","Jack Russ Terr Mix","N","N","Y","Y","N","Y",16,18,"Sporting","Brown & White",15,"Heartworm Negative"," 11/24/12","Adoption",6
"K12-020738","11/18/12","Stray","Cat","Neutered","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Org Tabby ",4.25,"FeLV Negative, FIV Negative"," 12/22/12","Adoption",34
"K12-020743","11/18/12","Stray","Dog","Neutered","Male",2,"Injured or Sick","Aust Cattle Dog & Labrador Retr","Y","N","Y","Y","N","Y",16,35,"Herding","White & Tan",48.25,"Heartworm Negative"," 6/17/13","Adoption",211
"K12-020744","11/18/12","Stray","Dog","Spayed","Female",3,"Normal","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","Red & White",11,"Heartworm Negative"," 11/24/12","Adoption",6
"K12-020752","11/18/12","Owner Surrender","Dog","Intact","Male",0,"Normal","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","Black & Tan",13.25,"No Lab Test"," 11/22/12","Transfer",4
"K12-021100","11/25/12","Owner Surrender","Dog","Neutered","Male",5,"Normal","Chihuahua Sh & Dachshund","N","N","Y","N","N","N",18,6,"Toy","Brown ",6.5,"Heartworm Negative"," 2/24/13","Adoption",91
"K12-021140","11/25/12","Stray","Cat","Spayed","Female",2,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Org Tabby & White",8,"FeLV Negative, FIV Negative"," 2/14/13","Transfer",81
"K12-021182","11/25/12","Public Assist","Dog","Neutered","Male",6,"Injured or Sick","Labrador Retr Mix","N","Y","Y","Y","Y","Y",12,79,"Sporting","Black ",47,"Heartworm Positive"," 3/6/13","Humane Euthanasia",101
"K12-021203","11/25/12","Stray","Dog","Intact","Female",3,"Normal","Pit Bull Mix","N","N","N","Y","N","Y",14,90,"Terrier","Br Brindle & White",46,"Heartworm Negative"," 12/4/12","Humane Euthanasia",9
"K12-021224","11/25/12","Stray","Dog","Intact","Male",3,"Normal","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","Brown ",13,"Heartworm Negative"," 12/15/12","Transfer",20
"K12-021230","11/25/12","Stray","Dog","Intact","Female",12,"Injured or Sick","Collie Rough Mix","N","N","Y","Y","Y","Y",15,55,"Herding","Tricolor ",34,"Heartworm Negative"," 12/3/12","Humane Euthanasia",8
"K12-021252","11/25/12","Stray","Dog","Intact","Male",4,"Normal","Chow Chow & Aust Cattle Dog","Y","Y","Y","Y","N","N",15,70,"Non-Sporting","Red & Black",42,"Heartworm Negative"," 12/26/12","Transfer",31
"K12-021347","11/25/12","Stray","Cat","Spayed","Female",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Calico ",2,"FeLV Negative, FIV Negative"," 12/5/12","Adoption",10
"K12-021507","12/2/12","Owner Surrender","Dog","Spayed","Female",3,"Normal","Pit Bull ","N","N","N","Y","N","Y",14,90,"Terrier","Fawn & White",63,"Heartworm Positive"," 12/7/12","Humane Euthanasia",5
"K12-021512","12/2/12","Owner Surrender","Cat","Spayed","Female",1,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Brn Tabby ",6.5,"FeLV Negative, FIV Negative"," 12/13/12","Transfer",11
"K12-021519","12/2/12","Stray","Cat","Neutered","Male",1,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Lynx Pt ",9.25,"FeLV Negative, FIV Negative"," 12/17/12","Adoption",15
"K12-021596","12/2/12","Public Assist","Dog","Neutered","Male",4,"Normal","Welsh Corgi Car & Chihuahua Sh","N","N","Y","Y","Y","Y",15,34,"Herding","Tan & White",17.25,"No Lab Test"," 12/16/12","Return to Owner",14
"K12-021670","12/2/12","Stray","Cat","Neutered","Male",0,"Normal","Maine Coon Mix","","","","","","",NA,NA,"","Blk Tabby ",2.5,"FeLV Negative, FIV Negative"," 1/23/13","Adoption",52
"K12-021673","12/2/12","Public Assist","Dog","Spayed","Female",2,"Normal","Sc Wheat Terr ","N","N","N","N","N","Y",15,45,"Terrier","Buff ",26,"No Lab Test"," 12/7/12","Return to Owner",5
"K12-021752","12/2/12","Stray","Cat","Spayed","Female",0,"Injured or Sick","Domestic Sh Mix","","","","","","",NA,NA,"","Blue Tabby ",2.5,"FeLV Negative, FIV Negative"," 12/22/12","Transfer",20
"K12-021838","12/9/12","Stray","Cat","Spayed","Female",3,"Normal","Domestic Mh Mix","","","","","","",NA,NA,"","Calico ",8,"FeLV Negative, FIV Negative"," 12/15/12","Transfer",6
"K12-021864","12/9/12","Stray","Dog","Spayed","Female",8,"Normal","Labrador Retr Mix","N","Y","Y","Y","Y","Y",12,79,"Sporting","Black & White",94,"No Lab Test"," 12/12/12","Return to Owner",3
"K12-021903","12/9/12","Stray","Dog","Spayed","Female",1,"Normal","Germ Shepherd Mix","N","N","Y","Y","N","Y",12,88,"Working","White ",49,"Heartworm Negative"," 12/17/12","Adoption",8
"K12-021908","12/9/12","Stray","Dog","Spayed","Female",1,"Normal","Manchester Terr Mix","Y","N","N","N","N","N",15,22,"Terrier","Black & Brown",18,"Heartworm Negative"," 12/16/12","Adoption",7
"K12-021997","12/9/12","Public Assist","Dog","Neutered","Male",3,"Normal","Catahoula ","N","Y","N","N","N","Y",13,80,"Herding","Blue Merle ",45.5,"Heartworm Negative"," 12/20/12","Return to Owner",11
"K12-022013","12/9/12","Stray","Dog","Neutered","Male",3,"Normal","Dandie Dinmont Mix","Y","Y","Y","N","Y","Y",15,24,"Terrier","Gray & Cream",20.5,"Heartworm Negative"," 12/13/12","Return to Owner",4
"K12-022020","12/9/12","Owner Surrender","Cat","Spayed","Female",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Black ",4.25,"FeLV Negative, FIV Negative"," 12/23/12","Transfer",14
"K12-022077","12/9/12","Owner Surrender","Cat","Neutered","Male",6,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Brn Tabby ",9,"FeLV Negative, FIV Negative"," 1/18/13","Adoption",40
"K12-022120","12/9/12","Stray","Dog","Spayed","Female",4,"Normal","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","Chocolate & White",6.25,"Heartworm Negative"," 12/20/12","Adoption",11
"K12-022168","12/9/12","Stray","Cat","Spayed","Female",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","White & Blue",4,"FeLV Negative, FIV Negative"," 12/21/12","Adoption",12
"K12-022216","12/16/12","Stray","Dog","Intact","Female",8,"Normal","Pit Bull & Labrador Retr","N","N","N","Y","N","Y",14,90,"Terrier","Black ",60.5,"Heartworm Negative"," 1/12/13","Adoption",27
"K12-022328","12/16/12","Stray","Dog","Neutered","Male",2,"Normal","Yorkshire Terr Mix","N","N","N","Y","N","Y",15,7,"Terrier","Brown ",8.5,"Heartworm Negative"," 12/23/12","Adoption",7
"K12-022363","12/16/12","Public Assist","Dog","Neutered","Male",2,"Normal","Canaan Dog Mix","N","N","N","Y","N","Y",16,55,"Herding","Brown & Tan",51,"No Lab Test"," 12/27/12","Return to Owner",11
"K12-022379","12/16/12","Stray","Dog","Spayed","Female",3,"Normal","Norfolk Terrier Mix","Y","Y","N","N","N","Y",15,11,"Terrier","Cream ",10,"Heartworm Negative"," 12/23/12","Adoption",7
"K12-022399","12/16/12","Stray","Dog","Neutered","Male",2,"Normal","Poodle Min Mix","N","N","Y","Y","N","Y",14,9,"Toy","White & Black",9.25,"Heartworm Negative"," 12/24/12","Adoption",8
"K12-022434","12/16/12","Owner Surrender","Dog","Neutered","Male",7,"Normal","Lhasa Apso Mix","N","Y","N","Y","Y","Y",20,19,"Non-Sporting","Tan ",29,"Heartworm Negative"," 12/26/12","Transfer",10
"K12-022495","12/16/12","Stray","Dog","Spayed","Female",4,"Normal","Maltese Mix","N","N","N","N","Y","Y",14,7,"Toy","White ",8.5,"Heartworm Negative"," 12/27/12","Adoption",11
"K12-022496","12/16/12","Owner Surrender","Dog","Intact","Female",0,"Normal","Chihuahua Sh Mix","N","N","Y","N","N","N",18,6,"Toy","Tan ",8.75,"Heartworm Negative"," 12/23/12","Transfer",7
"K12-022502","12/16/12","Stray","Dog","Spayed","Female",5,"Normal","West Highland & Pit Bull","N","Y","N","N","N","Y",14,20,"Terrier","Bl Brindle ",45,"No Lab Test"," 12/22/12","Return to Owner",6
"K12-022529","12/16/12","Stray","Cat","Spayed","Female",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Black ",3.25,"No Lab Test"," 12/26/12","Transfer",10
"K12-022532","12/16/12","Stray","Dog","Neutered","Male",2,"Normal","Dachshund ","Y","N","N","Y","Y","N",14,28,"Hound","Tan & White",14.25,"Heartworm Negative"," 1/4/13","Transfer",19
"K12-022538","12/16/12","Stray","Dog","Neutered","Male",2,"Normal","Pit Bull Mix","N","N","N","Y","N","Y",14,90,"Terrier","Tan & White",53.5,"Heartworm Positive"," 1/29/13","Transfer",44
"K12-022585","12/23/12","Stray","Dog","Neutered","Male",8,"Normal","Labrador Retr Mix","N","Y","Y","Y","Y","Y",12,79,"Sporting","Yellow ",82.5,"No Lab Test"," 12/24/12","Return to Owner",1
"K12-022595","12/23/12","Stray","Dog","Neutered","Male",0,"Normal","Norfolk Terrier Mix","Y","Y","N","N","N","Y",15,11,"Terrier","Cream & White",7.5,"No Lab Test"," 12/31/12","Adoption",8
"K12-022596","12/23/12","Owner Surrender","Dog","Intact","Female",1,"Injured or Sick","Shih Tzu Mix","N","N","N","N","N","Y",16,16,"Non-Sporting","White & Black",5.75,"No Lab Test"," 12/24/12","Transfer",1
"K12-022688","12/23/12","Stray","Cat","Neutered","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Blue ",4,"No Lab Test"," 1/2/13","Transfer",10
"K12-022689","12/23/12","Stray","Cat","Intact","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Crm Tabby ",1.75,"FeLV Negative, FIV Negative"," 12/31/12","Humane Euthanasia",8
"K12-022743","12/23/12","Owner Surrender","Cat","Intact","Male",0,"Normal","Domestic Sh Mix","","","","","","",NA,NA,"","Brn Tabby & White",1.75,"FeLV Negative, FIV Negative"," 1/4/13","Transfer",12
"K12-022814","12/23/12","Owner Surrender","Dog","Neutered","Male",4,"Injured or Sick","Bruss Griffon Mix","N","N","Y","Y","N","Y",15,10,"Toy","Brown ",10.5,"No Lab Test"," 12/29/12","Humane Euthanasia",6
"K12-022885","12/30/12","Stray","Dog","Intact","Male",2,"Normal","Poodle Min Mix","N","N","Y","Y","N","Y",14,9,"Toy","White ",13.5,"Heartworm Negative"," 1/4/13","Return to Owner",5
"K12-022889","12/30/12","Stray","Dog","Neutered","Male",2,"Normal","Dachshund Mix","Y","N","N","Y","Y","N",14,28,"Hound","Red ",12,"Heartworm Negative"," 1/4/13","Adoption",5
